,City,datetime
362024,Albuquerque,2012-10-01 12:00:00
362025,Albuquerque,2012-10-01 13:00:00
362026,Albuquerque,2012-10-01 14:00:00
362027,Albuquerque,2012-10-01 15:00:00
362028,Albuquerque,2012-10-01 16:00:00
362029,Albuquerque,2012-10-01 17:00:00
362030,Albuquerque,2012-10-01 18:00:00
362031,Albuquerque,2012-10-01 19:00:00
362032,Albuquerque,2012-10-01 20:00:00
362033,Albuquerque,2012-10-01 21:00:00
362034,Albuquerque,2012-10-01 22:00:00
362035,Albuquerque,2012-10-01 23:00:00
362036,Albuquerque,2012-10-02 00:00:00
362037,Albuquerque,2012-10-02 01:00:00
362038,Albuquerque,2012-10-02 02:00:00
362039,Albuquerque,2012-10-02 03:00:00
362040,Albuquerque,2012-10-02 04:00:00
362041,Albuquerque,2012-10-02 05:00:00
362042,Albuquerque,2012-10-02 06:00:00
362043,Albuquerque,2012-10-02 07:00:00
362044,Albuquerque,2012-10-02 08:00:00
362045,Albuquerque,2012-10-02 09:00:00
362046,Albuquerque,2012-10-02 10:00:00
362047,Albuquerque,2012-10-02 11:00:00
362048,Albuquerque,2012-10-02 12:00:00
362049,Albuquerque,2012-10-02 13:00:00
362050,Albuquerque,2012-10-02 14:00:00
362051,Albuquerque,2012-10-02 15:00:00
362052,Albuquerque,2012-10-02 16:00:00
362053,Albuquerque,2012-10-02 17:00:00
362054,Albuquerque,2012-10-02 18:00:00
362055,Albuquerque,2012-10-02 19:00:00
362056,Albuquerque,2012-10-02 20:00:00
362057,Albuquerque,2012-10-02 21:00:00
362058,Albuquerque,2012-10-02 22:00:00
362059,Albuquerque,2012-10-02 23:00:00
362060,Albuquerque,2012-10-03 00:00:00
362061,Albuquerque,2012-10-03 01:00:00
362062,Albuquerque,2012-10-03 02:00:00
362063,Albuquerque,2012-10-03 03:00:00
362064,Albuquerque,2012-10-03 04:00:00
362065,Albuquerque,2012-10-03 05:00:00
362066,Albuquerque,2012-10-03 06:00:00
362067,Albuquerque,2012-10-03 07:00:00
362068,Albuquerque,2012-10-03 08:00:00
362069,Albuquerque,2012-10-03 09:00:00
362070,Albuquerque,2012-10-03 10:00:00
362071,Albuquerque,2012-10-03 11:00:00
362072,Albuquerque,2012-10-03 12:00:00
362073,Albuquerque,2012-10-03 13:00:00
362074,Albuquerque,2012-10-03 14:00:00
362075,Albuquerque,2012-10-03 15:00:00
362076,Albuquerque,2012-10-03 16:00:00
362077,Albuquerque,2012-10-03 17:00:00
362078,Albuquerque,2012-10-03 18:00:00
362079,Albuquerque,2012-10-03 19:00:00
362080,Albuquerque,2012-10-03 20:00:00
362081,Albuquerque,2012-10-03 21:00:00
362082,Albuquerque,2012-10-03 22:00:00
362083,Albuquerque,2012-10-03 23:00:00
362084,Albuquerque,2012-10-04 00:00:00
362085,Albuquerque,2012-10-04 01:00:00
