,City,datetime
859807,Atlanta,2012-10-01 12:00:00
859808,Atlanta,2012-10-01 13:00:00
859809,Atlanta,2012-10-01 14:00:00
859810,Atlanta,2012-10-01 15:00:00
859811,Atlanta,2012-10-01 16:00:00
859812,Atlanta,2012-10-01 17:00:00
859813,Atlanta,2012-10-01 18:00:00
859814,Atlanta,2012-10-01 19:00:00
859815,Atlanta,2012-10-01 20:00:00
859816,Atlanta,2012-10-01 21:00:00
859817,Atlanta,2012-10-01 22:00:00
859818,Atlanta,2012-10-01 23:00:00
859819,Atlanta,2012-10-02 00:00:00
859820,Atlanta,2012-10-02 01:00:00
859821,Atlanta,2012-10-02 02:00:00
859822,Atlanta,2012-10-02 03:00:00
859823,Atlanta,2012-10-02 04:00:00
859824,Atlanta,2012-10-02 05:00:00
859825,Atlanta,2012-10-02 06:00:00
859826,Atlanta,2012-10-02 07:00:00
859827,Atlanta,2012-10-02 08:00:00
859828,Atlanta,2012-10-02 09:00:00
859829,Atlanta,2012-10-02 10:00:00
859830,Atlanta,2012-10-02 11:00:00
859831,Atlanta,2012-10-02 12:00:00
859832,Atlanta,2012-10-02 13:00:00
859833,Atlanta,2012-10-02 14:00:00
859834,Atlanta,2012-10-02 15:00:00
859835,Atlanta,2012-10-02 16:00:00
859836,Atlanta,2012-10-02 17:00:00
859837,Atlanta,2012-10-02 18:00:00
859838,Atlanta,2012-10-02 19:00:00
859839,Atlanta,2012-10-02 20:00:00
859840,Atlanta,2012-10-02 21:00:00
859841,Atlanta,2012-10-02 22:00:00
859842,Atlanta,2012-10-02 23:00:00
859843,Atlanta,2012-10-03 00:00:00
859844,Atlanta,2012-10-03 01:00:00
859845,Atlanta,2012-10-03 02:00:00
859846,Atlanta,2012-10-03 03:00:00
859847,Atlanta,2012-10-03 04:00:00
859848,Atlanta,2012-10-03 05:00:00
859849,Atlanta,2012-10-03 06:00:00
859850,Atlanta,2012-10-03 07:00:00
859851,Atlanta,2012-10-03 08:00:00
859852,Atlanta,2012-10-03 09:00:00
859853,Atlanta,2012-10-03 10:00:00
859854,Atlanta,2012-10-03 11:00:00
859855,Atlanta,2012-10-03 12:00:00
859856,Atlanta,2012-10-03 13:00:00
859857,Atlanta,2012-10-03 14:00:00
859858,Atlanta,2012-10-03 15:00:00
859859,Atlanta,2012-10-03 16:00:00
859860,Atlanta,2012-10-03 17:00:00
859861,Atlanta,2012-10-03 18:00:00
859862,Atlanta,2012-10-03 19:00:00
859863,Atlanta,2012-10-03 20:00:00
859864,Atlanta,2012-10-03 21:00:00
859865,Atlanta,2012-10-03 22:00:00
859866,Atlanta,2012-10-03 23:00:00
859867,Atlanta,2012-10-04 00:00:00
859868,Atlanta,2012-10-04 01:00:00
859869,Atlanta,2012-10-04 02:00:00
859870,Atlanta,2012-10-04 03:00:00
859871,Atlanta,2012-10-04 04:00:00
859872,Atlanta,2012-10-04 05:00:00
859873,Atlanta,2012-10-04 06:00:00
859874,Atlanta,2012-10-04 07:00:00
859875,Atlanta,2012-10-04 08:00:00
859876,Atlanta,2012-10-04 09:00:00
859877,Atlanta,2012-10-04 10:00:00
859878,Atlanta,2012-10-04 11:00:00
859879,Atlanta,2012-10-04 12:00:00
859880,Atlanta,2012-10-04 13:00:00
859881,Atlanta,2012-10-04 14:00:00
859882,Atlanta,2012-10-04 15:00:00
859883,Atlanta,2012-10-04 16:00:00
859884,Atlanta,2012-10-04 17:00:00
859885,Atlanta,2012-10-04 18:00:00
859886,Atlanta,2012-10-04 19:00:00
859887,Atlanta,2012-10-04 20:00:00
859888,Atlanta,2012-10-04 21:00:00
859889,Atlanta,2012-10-04 22:00:00
859890,Atlanta,2012-10-04 23:00:00
859891,Atlanta,2012-10-05 00:00:00
859892,Atlanta,2012-10-05 01:00:00
859893,Atlanta,2012-10-05 02:00:00
859894,Atlanta,2012-10-05 03:00:00
859895,Atlanta,2012-10-05 04:00:00
859896,Atlanta,2012-10-05 05:00:00
859897,Atlanta,2012-10-05 06:00:00
859898,Atlanta,2012-10-05 07:00:00
859899,Atlanta,2012-10-05 08:00:00
859900,Atlanta,2012-10-05 09:00:00
859901,Atlanta,2012-10-05 10:00:00
859902,Atlanta,2012-10-05 11:00:00
859903,Atlanta,2012-10-05 12:00:00
859904,Atlanta,2012-10-05 13:00:00
859905,Atlanta,2012-10-05 14:00:00
859906,Atlanta,2012-10-05 15:00:00
859907,Atlanta,2012-10-05 16:00:00
859908,Atlanta,2012-10-05 17:00:00
859909,Atlanta,2012-10-05 18:00:00
859910,Atlanta,2012-10-05 19:00:00
859911,Atlanta,2012-10-05 20:00:00
859912,Atlanta,2012-10-05 21:00:00
859913,Atlanta,2012-10-05 22:00:00
859914,Atlanta,2012-10-05 23:00:00
859915,Atlanta,2012-10-06 00:00:00
859916,Atlanta,2012-10-06 01:00:00
859917,Atlanta,2012-10-06 02:00:00
859918,Atlanta,2012-10-06 03:00:00
859919,Atlanta,2012-10-06 04:00:00
859920,Atlanta,2012-10-06 05:00:00
859921,Atlanta,2012-10-06 06:00:00
859922,Atlanta,2012-10-06 07:00:00
859923,Atlanta,2012-10-06 08:00:00
859924,Atlanta,2012-10-06 09:00:00
859925,Atlanta,2012-10-06 10:00:00
859926,Atlanta,2012-10-06 11:00:00
859927,Atlanta,2012-10-06 12:00:00
859928,Atlanta,2012-10-06 13:00:00
859929,Atlanta,2012-10-06 14:00:00
859930,Atlanta,2012-10-06 15:00:00
859931,Atlanta,2012-10-06 16:00:00
859932,Atlanta,2012-10-06 17:00:00
859933,Atlanta,2012-10-06 18:00:00
859934,Atlanta,2012-10-06 19:00:00
859935,Atlanta,2012-10-06 20:00:00
859936,Atlanta,2012-10-06 21:00:00
859937,Atlanta,2012-10-06 22:00:00
859938,Atlanta,2012-10-06 23:00:00
859939,Atlanta,2012-10-07 00:00:00
859940,Atlanta,2012-10-07 01:00:00
859941,Atlanta,2012-10-07 02:00:00
859942,Atlanta,2012-10-07 03:00:00
859943,Atlanta,2012-10-07 04:00:00
859944,Atlanta,2012-10-07 05:00:00
859945,Atlanta,2012-10-07 06:00:00
859946,Atlanta,2012-10-07 07:00:00
859947,Atlanta,2012-10-07 08:00:00
859948,Atlanta,2012-10-07 09:00:00
859949,Atlanta,2012-10-07 10:00:00
859950,Atlanta,2012-10-07 11:00:00
859951,Atlanta,2012-10-07 12:00:00
859952,Atlanta,2012-10-07 13:00:00
