,City,datetime
1357590,Beersheba,2012-10-01 12:00:00
1357591,Beersheba,2012-10-01 13:00:00
1357592,Beersheba,2012-10-01 14:00:00
1357593,Beersheba,2012-10-01 15:00:00
1357594,Beersheba,2012-10-01 16:00:00
1357595,Beersheba,2012-10-01 17:00:00
1357596,Beersheba,2012-10-01 18:00:00
1357597,Beersheba,2012-10-01 19:00:00
1357598,Beersheba,2012-10-01 20:00:00
1357599,Beersheba,2012-10-01 21:00:00
1357600,Beersheba,2012-10-01 22:00:00
1357601,Beersheba,2012-10-01 23:00:00
1357602,Beersheba,2012-10-02 00:00:00
1357603,Beersheba,2012-10-02 01:00:00
1357604,Beersheba,2012-10-02 02:00:00
1357605,Beersheba,2012-10-02 03:00:00
1357606,Beersheba,2012-10-02 04:00:00
1357607,Beersheba,2012-10-02 05:00:00
1357608,Beersheba,2012-10-02 06:00:00
1357609,Beersheba,2012-10-02 07:00:00
1357610,Beersheba,2012-10-02 08:00:00
1357611,Beersheba,2012-10-02 09:00:00
1357612,Beersheba,2012-10-02 10:00:00
1357613,Beersheba,2012-10-02 11:00:00
1357614,Beersheba,2012-10-02 12:00:00
1357615,Beersheba,2012-10-02 13:00:00
1357616,Beersheba,2012-10-02 14:00:00
1357617,Beersheba,2012-10-02 15:00:00
1357618,Beersheba,2012-10-02 16:00:00
1357619,Beersheba,2012-10-02 17:00:00
1357620,Beersheba,2012-10-02 18:00:00
1357621,Beersheba,2012-10-02 19:00:00
1357622,Beersheba,2012-10-02 20:00:00
1357623,Beersheba,2012-10-02 21:00:00
1357624,Beersheba,2012-10-02 22:00:00
1357625,Beersheba,2012-10-02 23:00:00
1357626,Beersheba,2012-10-03 00:00:00
1357627,Beersheba,2012-10-03 01:00:00
1357628,Beersheba,2012-10-03 02:00:00
1357629,Beersheba,2012-10-03 03:00:00
1357630,Beersheba,2012-10-03 04:00:00
1357631,Beersheba,2012-10-03 05:00:00
1357632,Beersheba,2012-10-03 06:00:00
1357633,Beersheba,2012-10-03 07:00:00
1357634,Beersheba,2012-10-03 08:00:00
1357635,Beersheba,2012-10-03 09:00:00
1357636,Beersheba,2012-10-03 10:00:00
1357637,Beersheba,2012-10-03 11:00:00
1357638,Beersheba,2012-10-03 12:00:00
1357639,Beersheba,2012-10-03 13:00:00
1357640,Beersheba,2012-10-03 14:00:00
1357641,Beersheba,2012-10-03 15:00:00
1357642,Beersheba,2012-10-03 16:00:00
1357643,Beersheba,2012-10-03 17:00:00
1357644,Beersheba,2012-10-03 18:00:00
1357645,Beersheba,2012-10-03 19:00:00
1357646,Beersheba,2012-10-03 20:00:00
1357647,Beersheba,2012-10-03 21:00:00
1357648,Beersheba,2012-10-03 22:00:00
1357649,Beersheba,2012-10-03 23:00:00
1357650,Beersheba,2012-10-04 00:00:00
1357651,Beersheba,2012-10-04 01:00:00
1357652,Beersheba,2012-10-04 02:00:00
