,City,datetime
1312337,Boston,2012-10-01 12:00:00
1312338,Boston,2012-10-01 13:00:00
1312339,Boston,2012-10-01 14:00:00
1312340,Boston,2012-10-01 15:00:00
1312341,Boston,2012-10-01 16:00:00
1312342,Boston,2012-10-01 17:00:00
1312343,Boston,2012-10-01 18:00:00
1312344,Boston,2012-10-01 19:00:00
1312345,Boston,2012-10-01 20:00:00
1312346,Boston,2012-10-01 21:00:00
1312347,Boston,2012-10-01 22:00:00
1312348,Boston,2012-10-01 23:00:00
1312349,Boston,2012-10-02 00:00:00
1312350,Boston,2012-10-02 01:00:00
1312351,Boston,2012-10-02 02:00:00
1312352,Boston,2012-10-02 03:00:00
1312353,Boston,2012-10-02 04:00:00
1312354,Boston,2012-10-02 05:00:00
1312355,Boston,2012-10-02 06:00:00
1312356,Boston,2012-10-02 07:00:00
1312357,Boston,2012-10-02 08:00:00
1312358,Boston,2012-10-02 09:00:00
1312359,Boston,2012-10-02 10:00:00
1312360,Boston,2012-10-02 11:00:00
1312361,Boston,2012-10-02 12:00:00
1312362,Boston,2012-10-02 13:00:00
1312363,Boston,2012-10-02 14:00:00
1312364,Boston,2012-10-02 15:00:00
1312365,Boston,2012-10-02 16:00:00
1312366,Boston,2012-10-02 17:00:00
1312367,Boston,2012-10-02 18:00:00
1312368,Boston,2012-10-02 19:00:00
1312369,Boston,2012-10-02 20:00:00
1312370,Boston,2012-10-02 21:00:00
1312371,Boston,2012-10-02 22:00:00
1312372,Boston,2012-10-02 23:00:00
1312373,Boston,2012-10-03 00:00:00
1312374,Boston,2012-10-03 01:00:00
1312375,Boston,2012-10-03 02:00:00
1312376,Boston,2012-10-03 03:00:00
1312377,Boston,2012-10-03 04:00:00
1312378,Boston,2012-10-03 05:00:00
1312379,Boston,2012-10-03 06:00:00
1312380,Boston,2012-10-03 07:00:00
1312381,Boston,2012-10-03 08:00:00
1312382,Boston,2012-10-03 09:00:00
1312383,Boston,2012-10-03 10:00:00
1312384,Boston,2012-10-03 11:00:00
1312385,Boston,2012-10-03 12:00:00
1312386,Boston,2012-10-03 13:00:00
1312387,Boston,2012-10-03 14:00:00
1312388,Boston,2012-10-03 15:00:00
1312389,Boston,2012-10-03 16:00:00
1312390,Boston,2012-10-03 17:00:00
1312391,Boston,2012-10-03 18:00:00
1312392,Boston,2012-10-03 19:00:00
1312393,Boston,2012-10-03 20:00:00
1312394,Boston,2012-10-03 21:00:00
1312395,Boston,2012-10-03 22:00:00
1312396,Boston,2012-10-03 23:00:00
1312397,Boston,2012-10-04 00:00:00
1312398,Boston,2012-10-04 01:00:00
1312399,Boston,2012-10-04 02:00:00
1312400,Boston,2012-10-04 03:00:00
1312401,Boston,2012-10-04 04:00:00
1312402,Boston,2012-10-04 05:00:00
1312403,Boston,2012-10-04 06:00:00
1312404,Boston,2012-10-04 07:00:00
1312405,Boston,2012-10-04 08:00:00
1312406,Boston,2012-10-04 09:00:00
1312407,Boston,2012-10-04 10:00:00
1312408,Boston,2012-10-04 11:00:00
1312409,Boston,2012-10-04 12:00:00
1312410,Boston,2012-10-04 13:00:00
1312411,Boston,2012-10-04 14:00:00
1312412,Boston,2012-10-04 15:00:00
1312413,Boston,2012-10-04 16:00:00
1312414,Boston,2012-10-04 17:00:00
1312415,Boston,2012-10-04 18:00:00
1312416,Boston,2012-10-04 19:00:00
1312417,Boston,2012-10-04 20:00:00
1312418,Boston,2012-10-04 21:00:00
1312419,Boston,2012-10-04 22:00:00
1312420,Boston,2012-10-04 23:00:00
1312421,Boston,2012-10-05 00:00:00
1312422,Boston,2012-10-05 01:00:00
1312423,Boston,2012-10-05 02:00:00
1312424,Boston,2012-10-05 03:00:00
1312425,Boston,2012-10-05 04:00:00
1312426,Boston,2012-10-05 05:00:00
1312427,Boston,2012-10-05 06:00:00
1312428,Boston,2012-10-05 07:00:00
1312429,Boston,2012-10-05 08:00:00
1312430,Boston,2012-10-05 09:00:00
1312431,Boston,2012-10-05 10:00:00
1312432,Boston,2012-10-05 11:00:00
1312433,Boston,2012-10-05 12:00:00
1312434,Boston,2012-10-05 13:00:00
1312435,Boston,2012-10-05 14:00:00
1312436,Boston,2012-10-05 15:00:00
1312437,Boston,2012-10-05 16:00:00
1312438,Boston,2012-10-05 17:00:00
1312439,Boston,2012-10-05 18:00:00
1312440,Boston,2012-10-05 19:00:00
1312441,Boston,2012-10-05 20:00:00
1312442,Boston,2012-10-05 21:00:00
1312443,Boston,2012-10-05 22:00:00
1312444,Boston,2012-10-05 23:00:00
1312445,Boston,2012-10-06 00:00:00
1312446,Boston,2012-10-06 01:00:00
1312447,Boston,2012-10-06 02:00:00
1312448,Boston,2012-10-06 03:00:00
1312449,Boston,2012-10-06 04:00:00
1312450,Boston,2012-10-06 05:00:00
1312451,Boston,2012-10-06 06:00:00
1312452,Boston,2012-10-06 07:00:00
1312453,Boston,2012-10-06 08:00:00
1312454,Boston,2012-10-06 09:00:00
1312455,Boston,2012-10-06 10:00:00
1312456,Boston,2012-10-06 11:00:00
1312457,Boston,2012-10-06 12:00:00
1312458,Boston,2012-10-06 13:00:00
1312459,Boston,2012-10-06 14:00:00
1312460,Boston,2012-10-06 15:00:00
1312461,Boston,2012-10-06 16:00:00
1312462,Boston,2012-10-06 17:00:00
1312463,Boston,2012-10-06 18:00:00
1312464,Boston,2012-10-06 19:00:00
1312465,Boston,2012-10-06 20:00:00
1312466,Boston,2012-10-06 21:00:00
1312467,Boston,2012-10-06 22:00:00
1312468,Boston,2012-10-06 23:00:00
1312469,Boston,2012-10-07 00:00:00
1312470,Boston,2012-10-07 01:00:00
1312471,Boston,2012-10-07 02:00:00
1312472,Boston,2012-10-07 03:00:00
1312473,Boston,2012-10-07 04:00:00
1312474,Boston,2012-10-07 05:00:00
1312475,Boston,2012-10-07 06:00:00
1312476,Boston,2012-10-07 07:00:00
1312477,Boston,2012-10-07 08:00:00
1312478,Boston,2012-10-07 09:00:00
1312479,Boston,2012-10-07 10:00:00
1312480,Boston,2012-10-07 11:00:00
1312481,Boston,2012-10-07 12:00:00
1312482,Boston,2012-10-07 13:00:00
1312483,Boston,2012-10-07 14:00:00
1312484,Boston,2012-10-07 15:00:00
1312485,Boston,2012-10-07 16:00:00
1312486,Boston,2012-10-07 17:00:00
1312487,Boston,2012-10-07 18:00:00
1312488,Boston,2012-10-07 19:00:00
1312489,Boston,2012-10-07 20:00:00
1312490,Boston,2012-10-07 21:00:00
1312491,Boston,2012-10-07 22:00:00
1312492,Boston,2012-10-07 23:00:00
1312493,Boston,2012-10-08 00:00:00
1312494,Boston,2012-10-08 01:00:00
1312495,Boston,2012-10-08 02:00:00
1312496,Boston,2012-10-08 03:00:00
1312497,Boston,2012-10-08 04:00:00
1312498,Boston,2012-10-08 05:00:00
1312499,Boston,2012-10-08 06:00:00
1312500,Boston,2012-10-08 07:00:00
1312501,Boston,2012-10-08 08:00:00
1312502,Boston,2012-10-08 09:00:00
1312503,Boston,2012-10-08 10:00:00
1312504,Boston,2012-10-08 11:00:00
1312505,Boston,2012-10-08 12:00:00
1312506,Boston,2012-10-08 13:00:00
1312507,Boston,2012-10-08 14:00:00
1312508,Boston,2012-10-08 15:00:00
1312509,Boston,2012-10-08 16:00:00
1312510,Boston,2012-10-08 17:00:00
1312511,Boston,2012-10-08 18:00:00
1312512,Boston,2012-10-08 19:00:00
1312513,Boston,2012-10-08 20:00:00
1312514,Boston,2012-10-08 21:00:00
1312515,Boston,2012-10-08 22:00:00
1312516,Boston,2012-10-08 23:00:00
1312517,Boston,2012-10-09 00:00:00
1312518,Boston,2012-10-09 01:00:00
1312519,Boston,2012-10-09 02:00:00
1312520,Boston,2012-10-09 03:00:00
1312521,Boston,2012-10-09 04:00:00
1312522,Boston,2012-10-09 05:00:00
1312523,Boston,2012-10-09 06:00:00
1312524,Boston,2012-10-09 07:00:00
1312525,Boston,2012-10-09 08:00:00
1312526,Boston,2012-10-09 09:00:00
1312527,Boston,2012-10-09 10:00:00
1312528,Boston,2012-10-09 11:00:00
1312529,Boston,2012-10-09 12:00:00
1312530,Boston,2012-10-09 13:00:00
1312531,Boston,2012-10-09 14:00:00
1312532,Boston,2012-10-09 15:00:00
1312533,Boston,2012-10-09 16:00:00
1312534,Boston,2012-10-09 17:00:00
1312535,Boston,2012-10-09 18:00:00
1312536,Boston,2012-10-09 19:00:00
1312537,Boston,2012-10-09 20:00:00
1312538,Boston,2012-10-09 21:00:00
1312539,Boston,2012-10-09 22:00:00
1312540,Boston,2012-10-09 23:00:00
1312541,Boston,2012-10-10 00:00:00
1312542,Boston,2012-10-10 01:00:00
1312543,Boston,2012-10-10 02:00:00
1312544,Boston,2012-10-10 03:00:00
1312545,Boston,2012-10-10 04:00:00
1312546,Boston,2012-10-10 05:00:00
1312547,Boston,2012-10-10 06:00:00
1312548,Boston,2012-10-10 07:00:00
1312549,Boston,2012-10-10 08:00:00
1312550,Boston,2012-10-10 09:00:00
1312551,Boston,2012-10-10 10:00:00
1312552,Boston,2012-10-10 11:00:00
1312553,Boston,2012-10-10 12:00:00
1312554,Boston,2012-10-10 13:00:00
1312555,Boston,2012-10-10 14:00:00
1312556,Boston,2012-10-10 15:00:00
1312557,Boston,2012-10-10 16:00:00
1312558,Boston,2012-10-10 17:00:00
1312559,Boston,2012-10-10 18:00:00
1312560,Boston,2012-10-10 19:00:00
1312561,Boston,2012-10-10 20:00:00
1312562,Boston,2012-10-10 21:00:00
1312563,Boston,2012-10-10 22:00:00
1312564,Boston,2012-10-10 23:00:00
1312565,Boston,2012-10-11 00:00:00
1312566,Boston,2012-10-11 01:00:00
1312567,Boston,2012-10-11 02:00:00
1312568,Boston,2012-10-11 03:00:00
1312569,Boston,2012-10-11 04:00:00
1312570,Boston,2012-10-11 05:00:00
1312571,Boston,2012-10-11 06:00:00
1312572,Boston,2012-10-11 07:00:00
1312573,Boston,2012-10-11 08:00:00
1312574,Boston,2012-10-11 09:00:00
1312575,Boston,2012-10-11 10:00:00
1312576,Boston,2012-10-11 11:00:00
1312577,Boston,2012-10-11 12:00:00
1312578,Boston,2012-10-11 13:00:00
1312579,Boston,2012-10-11 14:00:00
1312580,Boston,2012-10-11 15:00:00
1312581,Boston,2012-10-11 16:00:00
1312582,Boston,2012-10-11 17:00:00
1312583,Boston,2012-10-11 18:00:00
1312584,Boston,2012-10-11 19:00:00
1312585,Boston,2012-10-11 20:00:00
1312586,Boston,2012-10-11 21:00:00
1312587,Boston,2012-10-11 22:00:00
1312588,Boston,2012-10-11 23:00:00
1312589,Boston,2012-10-12 00:00:00
1312590,Boston,2012-10-12 01:00:00
1312591,Boston,2012-10-12 02:00:00
1312592,Boston,2012-10-12 03:00:00
1312593,Boston,2012-10-12 04:00:00
1312594,Boston,2012-10-12 05:00:00
1312595,Boston,2012-10-12 06:00:00
1312596,Boston,2012-10-12 07:00:00
1312597,Boston,2012-10-12 08:00:00
1312598,Boston,2012-10-12 09:00:00
1312599,Boston,2012-10-12 10:00:00
1312600,Boston,2012-10-12 11:00:00
1312601,Boston,2012-10-12 12:00:00
1312602,Boston,2012-10-12 13:00:00
1312603,Boston,2012-10-12 14:00:00
1312604,Boston,2012-10-12 15:00:00
1312605,Boston,2012-10-12 16:00:00
1312606,Boston,2012-10-12 17:00:00
1312607,Boston,2012-10-12 18:00:00
1312608,Boston,2012-10-12 19:00:00
1312609,Boston,2012-10-12 20:00:00
1312610,Boston,2012-10-12 21:00:00
