,City,datetime
995566,Charlotte,2012-10-01 12:00:00
995567,Charlotte,2012-10-01 13:00:00
995568,Charlotte,2012-10-01 14:00:00
995569,Charlotte,2012-10-01 15:00:00
995570,Charlotte,2012-10-01 16:00:00
995571,Charlotte,2012-10-01 17:00:00
995572,Charlotte,2012-10-01 18:00:00
995573,Charlotte,2012-10-01 19:00:00
995574,Charlotte,2012-10-01 20:00:00
995575,Charlotte,2012-10-01 21:00:00
995576,Charlotte,2012-10-01 22:00:00
995577,Charlotte,2012-10-01 23:00:00
995578,Charlotte,2012-10-02 00:00:00
995579,Charlotte,2012-10-02 01:00:00
995580,Charlotte,2012-10-02 02:00:00
995581,Charlotte,2012-10-02 03:00:00
995582,Charlotte,2012-10-02 04:00:00
995583,Charlotte,2012-10-02 05:00:00
995584,Charlotte,2012-10-02 06:00:00
995585,Charlotte,2012-10-02 07:00:00
995586,Charlotte,2012-10-02 08:00:00
995587,Charlotte,2012-10-02 09:00:00
995588,Charlotte,2012-10-02 10:00:00
995589,Charlotte,2012-10-02 11:00:00
995590,Charlotte,2012-10-02 12:00:00
995591,Charlotte,2012-10-02 13:00:00
995592,Charlotte,2012-10-02 14:00:00
995593,Charlotte,2012-10-02 15:00:00
995594,Charlotte,2012-10-02 16:00:00
995595,Charlotte,2012-10-02 17:00:00
995596,Charlotte,2012-10-02 18:00:00
995597,Charlotte,2012-10-02 19:00:00
995598,Charlotte,2012-10-02 20:00:00
995599,Charlotte,2012-10-02 21:00:00
995600,Charlotte,2012-10-02 22:00:00
995601,Charlotte,2012-10-02 23:00:00
995602,Charlotte,2012-10-03 00:00:00
995603,Charlotte,2012-10-03 01:00:00
995604,Charlotte,2012-10-03 02:00:00
995605,Charlotte,2012-10-03 03:00:00
995606,Charlotte,2012-10-03 04:00:00
995607,Charlotte,2012-10-03 05:00:00
995608,Charlotte,2012-10-03 06:00:00
995609,Charlotte,2012-10-03 07:00:00
995610,Charlotte,2012-10-03 08:00:00
995611,Charlotte,2012-10-03 09:00:00
995612,Charlotte,2012-10-03 10:00:00
995613,Charlotte,2012-10-03 11:00:00
995614,Charlotte,2012-10-03 12:00:00
995615,Charlotte,2012-10-03 13:00:00
