,City,datetime
724048,Chicago,2012-10-01 12:00:00
724049,Chicago,2012-10-01 13:00:00
724050,Chicago,2012-10-01 14:00:00
724051,Chicago,2012-10-01 15:00:00
724052,Chicago,2012-10-01 16:00:00
724053,Chicago,2012-10-01 17:00:00
724054,Chicago,2012-10-01 18:00:00
724055,Chicago,2012-10-01 19:00:00
724056,Chicago,2012-10-01 20:00:00
724057,Chicago,2012-10-01 21:00:00
724058,Chicago,2012-10-01 22:00:00
724059,Chicago,2012-10-01 23:00:00
724060,Chicago,2012-10-02 00:00:00
724061,Chicago,2012-10-02 01:00:00
724062,Chicago,2012-10-02 02:00:00
724063,Chicago,2012-10-02 03:00:00
724064,Chicago,2012-10-02 04:00:00
724065,Chicago,2012-10-02 05:00:00
724066,Chicago,2012-10-02 06:00:00
724067,Chicago,2012-10-02 07:00:00
724068,Chicago,2012-10-02 08:00:00
724069,Chicago,2012-10-02 09:00:00
724070,Chicago,2012-10-02 10:00:00
724071,Chicago,2012-10-02 11:00:00
724072,Chicago,2012-10-02 12:00:00
724073,Chicago,2012-10-02 13:00:00
724074,Chicago,2012-10-02 14:00:00
724075,Chicago,2012-10-02 15:00:00
724076,Chicago,2012-10-02 16:00:00
724077,Chicago,2012-10-02 17:00:00
724078,Chicago,2012-10-02 18:00:00
724079,Chicago,2012-10-02 19:00:00
724080,Chicago,2012-10-02 20:00:00
724081,Chicago,2012-10-02 21:00:00
724082,Chicago,2012-10-02 22:00:00
724083,Chicago,2012-10-02 23:00:00
724084,Chicago,2012-10-03 00:00:00
724085,Chicago,2012-10-03 01:00:00
724086,Chicago,2012-10-03 02:00:00
724087,Chicago,2012-10-03 03:00:00
724088,Chicago,2012-10-03 04:00:00
724089,Chicago,2012-10-03 05:00:00
724090,Chicago,2012-10-03 06:00:00
724091,Chicago,2012-10-03 07:00:00
724092,Chicago,2012-10-03 08:00:00
724093,Chicago,2012-10-03 09:00:00
724094,Chicago,2012-10-03 10:00:00
724095,Chicago,2012-10-03 11:00:00
724096,Chicago,2012-10-03 12:00:00
724097,Chicago,2012-10-03 13:00:00
