,City,datetime
497783,Dallas,2012-10-01 12:00:00
497784,Dallas,2012-10-01 13:00:00
497785,Dallas,2012-10-01 14:00:00
497786,Dallas,2012-10-01 15:00:00
497787,Dallas,2012-10-01 16:00:00
497788,Dallas,2012-10-01 17:00:00
497789,Dallas,2012-10-01 18:00:00
497790,Dallas,2012-10-01 19:00:00
497791,Dallas,2012-10-01 20:00:00
497792,Dallas,2012-10-01 21:00:00
497793,Dallas,2012-10-01 22:00:00
497794,Dallas,2012-10-01 23:00:00
497795,Dallas,2012-10-02 00:00:00
497796,Dallas,2012-10-02 01:00:00
497797,Dallas,2012-10-02 02:00:00
497798,Dallas,2012-10-02 03:00:00
497799,Dallas,2012-10-02 04:00:00
497800,Dallas,2012-10-02 05:00:00
497801,Dallas,2012-10-02 06:00:00
497802,Dallas,2012-10-02 07:00:00
497803,Dallas,2012-10-02 08:00:00
497804,Dallas,2012-10-02 09:00:00
497805,Dallas,2012-10-02 10:00:00
497806,Dallas,2012-10-02 11:00:00
497807,Dallas,2012-10-02 12:00:00
497808,Dallas,2012-10-02 13:00:00
497809,Dallas,2012-10-02 14:00:00
497810,Dallas,2012-10-02 15:00:00
497811,Dallas,2012-10-02 16:00:00
497812,Dallas,2012-10-02 17:00:00
497813,Dallas,2012-10-02 18:00:00
497814,Dallas,2012-10-02 19:00:00
497815,Dallas,2012-10-02 20:00:00
497816,Dallas,2012-10-02 21:00:00
497817,Dallas,2012-10-02 22:00:00
497818,Dallas,2012-10-02 23:00:00
497819,Dallas,2012-10-03 00:00:00
497820,Dallas,2012-10-03 01:00:00
497821,Dallas,2012-10-03 02:00:00
497822,Dallas,2012-10-03 03:00:00
497823,Dallas,2012-10-03 04:00:00
497824,Dallas,2012-10-03 05:00:00
497825,Dallas,2012-10-03 06:00:00
497826,Dallas,2012-10-03 07:00:00
497827,Dallas,2012-10-03 08:00:00
497828,Dallas,2012-10-03 09:00:00
497829,Dallas,2012-10-03 10:00:00
497830,Dallas,2012-10-03 11:00:00
497831,Dallas,2012-10-03 12:00:00
497832,Dallas,2012-10-03 13:00:00
497833,Dallas,2012-10-03 14:00:00
497834,Dallas,2012-10-03 15:00:00
497835,Dallas,2012-10-03 16:00:00
497836,Dallas,2012-10-03 17:00:00
497837,Dallas,2012-10-03 18:00:00
497838,Dallas,2012-10-03 19:00:00
497839,Dallas,2012-10-03 20:00:00
497840,Dallas,2012-10-03 21:00:00
497841,Dallas,2012-10-03 22:00:00
497842,Dallas,2012-10-03 23:00:00
497843,Dallas,2012-10-04 00:00:00
497844,Dallas,2012-10-04 01:00:00
497845,Dallas,2012-10-04 02:00:00
497846,Dallas,2012-10-04 03:00:00
497847,Dallas,2012-10-04 04:00:00
497848,Dallas,2012-10-04 05:00:00
497849,Dallas,2012-10-04 06:00:00
497850,Dallas,2012-10-04 07:00:00
497851,Dallas,2012-10-04 08:00:00
497852,Dallas,2012-10-04 09:00:00
497853,Dallas,2012-10-04 10:00:00
497854,Dallas,2012-10-04 11:00:00
497855,Dallas,2012-10-04 12:00:00
497856,Dallas,2012-10-04 13:00:00
497857,Dallas,2012-10-04 14:00:00
497858,Dallas,2012-10-04 15:00:00
497859,Dallas,2012-10-04 16:00:00
497860,Dallas,2012-10-04 17:00:00
497861,Dallas,2012-10-04 18:00:00
497862,Dallas,2012-10-04 19:00:00
497863,Dallas,2012-10-04 20:00:00
497864,Dallas,2012-10-04 21:00:00
497865,Dallas,2012-10-04 22:00:00
497866,Dallas,2012-10-04 23:00:00
497867,Dallas,2012-10-05 00:00:00
497868,Dallas,2012-10-05 01:00:00
497869,Dallas,2012-10-05 02:00:00
497870,Dallas,2012-10-05 03:00:00
497871,Dallas,2012-10-05 04:00:00
497872,Dallas,2012-10-05 05:00:00
497873,Dallas,2012-10-05 06:00:00
497874,Dallas,2012-10-05 07:00:00
497875,Dallas,2012-10-05 08:00:00
497876,Dallas,2012-10-05 09:00:00
497877,Dallas,2012-10-05 10:00:00
497878,Dallas,2012-10-05 11:00:00
497879,Dallas,2012-10-05 12:00:00
497880,Dallas,2012-10-05 13:00:00
497881,Dallas,2012-10-05 14:00:00
497882,Dallas,2012-10-05 15:00:00
497883,Dallas,2012-10-05 16:00:00
497884,Dallas,2012-10-05 17:00:00
497885,Dallas,2012-10-05 18:00:00
497886,Dallas,2012-10-05 19:00:00
497887,Dallas,2012-10-05 20:00:00
497888,Dallas,2012-10-05 21:00:00
497889,Dallas,2012-10-05 22:00:00
497890,Dallas,2012-10-05 23:00:00
497891,Dallas,2012-10-06 00:00:00
497892,Dallas,2012-10-06 01:00:00
497893,Dallas,2012-10-06 02:00:00
497894,Dallas,2012-10-06 03:00:00
497895,Dallas,2012-10-06 04:00:00
497896,Dallas,2012-10-06 05:00:00
497897,Dallas,2012-10-06 06:00:00
497898,Dallas,2012-10-06 07:00:00
497899,Dallas,2012-10-06 08:00:00
497900,Dallas,2012-10-06 09:00:00
497901,Dallas,2012-10-06 10:00:00
497902,Dallas,2012-10-06 11:00:00
497903,Dallas,2012-10-06 12:00:00
497904,Dallas,2012-10-06 13:00:00
497905,Dallas,2012-10-06 14:00:00
497906,Dallas,2012-10-06 15:00:00
497907,Dallas,2012-10-06 16:00:00
497908,Dallas,2012-10-06 17:00:00
497909,Dallas,2012-10-06 18:00:00
497910,Dallas,2012-10-06 19:00:00
497911,Dallas,2012-10-06 20:00:00
497912,Dallas,2012-10-06 21:00:00
497913,Dallas,2012-10-06 22:00:00
497914,Dallas,2012-10-06 23:00:00
497915,Dallas,2012-10-07 00:00:00
497916,Dallas,2012-10-07 01:00:00
497917,Dallas,2012-10-07 02:00:00
497918,Dallas,2012-10-07 03:00:00
497919,Dallas,2012-10-07 04:00:00
497920,Dallas,2012-10-07 05:00:00
497921,Dallas,2012-10-07 06:00:00
497922,Dallas,2012-10-07 07:00:00
497923,Dallas,2012-10-07 08:00:00
497924,Dallas,2012-10-07 09:00:00
497925,Dallas,2012-10-07 10:00:00
497926,Dallas,2012-10-07 11:00:00
497927,Dallas,2012-10-07 12:00:00
497928,Dallas,2012-10-07 13:00:00
497929,Dallas,2012-10-07 14:00:00
497930,Dallas,2012-10-07 15:00:00
497931,Dallas,2012-10-07 16:00:00
497932,Dallas,2012-10-07 17:00:00
497933,Dallas,2012-10-07 18:00:00
497934,Dallas,2012-10-07 19:00:00
497935,Dallas,2012-10-07 20:00:00
497936,Dallas,2012-10-07 21:00:00
497937,Dallas,2012-10-07 22:00:00
497938,Dallas,2012-10-07 23:00:00
497939,Dallas,2012-10-08 00:00:00
497940,Dallas,2012-10-08 01:00:00
497941,Dallas,2012-10-08 02:00:00
497942,Dallas,2012-10-08 03:00:00
497943,Dallas,2012-10-08 04:00:00
497944,Dallas,2012-10-08 05:00:00
497945,Dallas,2012-10-08 06:00:00
497946,Dallas,2012-10-08 07:00:00
497947,Dallas,2012-10-08 08:00:00
497948,Dallas,2012-10-08 09:00:00
497949,Dallas,2012-10-08 10:00:00
497950,Dallas,2012-10-08 11:00:00
497951,Dallas,2012-10-08 12:00:00
497952,Dallas,2012-10-08 13:00:00
497953,Dallas,2012-10-08 14:00:00
497954,Dallas,2012-10-08 15:00:00
497955,Dallas,2012-10-08 16:00:00
497956,Dallas,2012-10-08 17:00:00
497957,Dallas,2012-10-08 18:00:00
497958,Dallas,2012-10-08 19:00:00
497959,Dallas,2012-10-08 20:00:00
497960,Dallas,2012-10-08 21:00:00
497961,Dallas,2012-10-08 22:00:00
497962,Dallas,2012-10-08 23:00:00
497963,Dallas,2012-10-09 00:00:00
497964,Dallas,2012-10-09 01:00:00
497965,Dallas,2012-10-09 02:00:00
497966,Dallas,2012-10-09 03:00:00
497967,Dallas,2012-10-09 04:00:00
497968,Dallas,2012-10-09 05:00:00
497969,Dallas,2012-10-09 06:00:00
497970,Dallas,2012-10-09 07:00:00
497971,Dallas,2012-10-09 08:00:00
497972,Dallas,2012-10-09 09:00:00
497973,Dallas,2012-10-09 10:00:00
497974,Dallas,2012-10-09 11:00:00
497975,Dallas,2012-10-09 12:00:00
497976,Dallas,2012-10-09 13:00:00
497977,Dallas,2012-10-09 14:00:00
497978,Dallas,2012-10-09 15:00:00
497979,Dallas,2012-10-09 16:00:00
