,City,datetime
407277,Denver,2012-10-01 12:00:00
407278,Denver,2012-10-01 13:00:00
407279,Denver,2012-10-01 14:00:00
407280,Denver,2012-10-01 15:00:00
407281,Denver,2012-10-01 16:00:00
407282,Denver,2012-10-01 17:00:00
407283,Denver,2012-10-01 18:00:00
407284,Denver,2012-10-01 19:00:00
407285,Denver,2012-10-01 20:00:00
407286,Denver,2012-10-01 21:00:00
407287,Denver,2012-10-01 22:00:00
407288,Denver,2012-10-01 23:00:00
407289,Denver,2012-10-02 00:00:00
407290,Denver,2012-10-02 01:00:00
407291,Denver,2012-10-02 02:00:00
407292,Denver,2012-10-02 03:00:00
407293,Denver,2012-10-02 04:00:00
407294,Denver,2012-10-02 05:00:00
407295,Denver,2012-10-02 06:00:00
407296,Denver,2012-10-02 07:00:00
407297,Denver,2012-10-02 08:00:00
407298,Denver,2012-10-02 09:00:00
407299,Denver,2012-10-02 10:00:00
407300,Denver,2012-10-02 11:00:00
407301,Denver,2012-10-02 12:00:00
407302,Denver,2012-10-02 13:00:00
407303,Denver,2012-10-02 14:00:00
407304,Denver,2012-10-02 15:00:00
407305,Denver,2012-10-02 16:00:00
407306,Denver,2012-10-02 17:00:00
407307,Denver,2012-10-02 18:00:00
407308,Denver,2012-10-02 19:00:00
407309,Denver,2012-10-02 20:00:00
407310,Denver,2012-10-02 21:00:00
407311,Denver,2012-10-02 22:00:00
407312,Denver,2012-10-02 23:00:00
407313,Denver,2012-10-03 00:00:00
407314,Denver,2012-10-03 01:00:00
407315,Denver,2012-10-03 02:00:00
407316,Denver,2012-10-03 03:00:00
407317,Denver,2012-10-03 04:00:00
407318,Denver,2012-10-03 05:00:00
407319,Denver,2012-10-03 06:00:00
407320,Denver,2012-10-03 07:00:00
407321,Denver,2012-10-03 08:00:00
407322,Denver,2012-10-03 09:00:00
407323,Denver,2012-10-03 10:00:00
407324,Denver,2012-10-03 11:00:00
407325,Denver,2012-10-03 12:00:00
407326,Denver,2012-10-03 13:00:00
407327,Denver,2012-10-03 14:00:00
407328,Denver,2012-10-03 15:00:00
407329,Denver,2012-10-03 16:00:00
407330,Denver,2012-10-03 17:00:00
407331,Denver,2012-10-03 18:00:00
407332,Denver,2012-10-03 19:00:00
407333,Denver,2012-10-03 20:00:00
407334,Denver,2012-10-03 21:00:00
407335,Denver,2012-10-03 22:00:00
407336,Denver,2012-10-03 23:00:00
407337,Denver,2012-10-04 00:00:00
407338,Denver,2012-10-04 01:00:00
407339,Denver,2012-10-04 02:00:00
407340,Denver,2012-10-04 03:00:00
407341,Denver,2012-10-04 04:00:00
407342,Denver,2012-10-04 05:00:00
407343,Denver,2012-10-04 06:00:00
407344,Denver,2012-10-04 07:00:00
407345,Denver,2012-10-04 08:00:00
407346,Denver,2012-10-04 09:00:00
407347,Denver,2012-10-04 10:00:00
407348,Denver,2012-10-04 11:00:00
407349,Denver,2012-10-04 12:00:00
407350,Denver,2012-10-04 13:00:00
407351,Denver,2012-10-04 14:00:00
407352,Denver,2012-10-04 15:00:00
407353,Denver,2012-10-04 16:00:00
407354,Denver,2012-10-04 17:00:00
407355,Denver,2012-10-04 18:00:00
407356,Denver,2012-10-04 19:00:00
407357,Denver,2012-10-04 20:00:00
407358,Denver,2012-10-04 21:00:00
407359,Denver,2012-10-04 22:00:00
407360,Denver,2012-10-04 23:00:00
407361,Denver,2012-10-05 00:00:00
407362,Denver,2012-10-05 01:00:00
407363,Denver,2012-10-05 02:00:00
407364,Denver,2012-10-05 03:00:00
407365,Denver,2012-10-05 04:00:00
407366,Denver,2012-10-05 05:00:00
407367,Denver,2012-10-05 06:00:00
407368,Denver,2012-10-05 07:00:00
407369,Denver,2012-10-05 08:00:00
407370,Denver,2012-10-05 09:00:00
407371,Denver,2012-10-05 10:00:00
407372,Denver,2012-10-05 11:00:00
407373,Denver,2012-10-05 12:00:00
407374,Denver,2012-10-05 13:00:00
407375,Denver,2012-10-05 14:00:00
407376,Denver,2012-10-05 15:00:00
407377,Denver,2012-10-05 16:00:00
407378,Denver,2012-10-05 17:00:00
407379,Denver,2012-10-05 18:00:00
407380,Denver,2012-10-05 19:00:00
407381,Denver,2012-10-05 20:00:00
407382,Denver,2012-10-05 21:00:00
407383,Denver,2012-10-05 22:00:00
407384,Denver,2012-10-05 23:00:00
407385,Denver,2012-10-06 00:00:00
407386,Denver,2012-10-06 01:00:00
407387,Denver,2012-10-06 02:00:00
407388,Denver,2012-10-06 03:00:00
407389,Denver,2012-10-06 04:00:00
407390,Denver,2012-10-06 05:00:00
407391,Denver,2012-10-06 06:00:00
407392,Denver,2012-10-06 07:00:00
407393,Denver,2012-10-06 08:00:00
407394,Denver,2012-10-06 09:00:00
407395,Denver,2012-10-06 10:00:00
407396,Denver,2012-10-06 11:00:00
407397,Denver,2012-10-06 12:00:00
407398,Denver,2012-10-06 13:00:00
407399,Denver,2012-10-06 14:00:00
