,City,datetime
905060,Detroit,2012-10-01 12:00:00
905061,Detroit,2012-10-01 13:00:00
905062,Detroit,2012-10-01 14:00:00
905063,Detroit,2012-10-01 15:00:00
905064,Detroit,2012-10-01 16:00:00
905065,Detroit,2012-10-01 17:00:00
905066,Detroit,2012-10-01 18:00:00
905067,Detroit,2012-10-01 19:00:00
905068,Detroit,2012-10-01 20:00:00
905069,Detroit,2012-10-01 21:00:00
905070,Detroit,2012-10-01 22:00:00
905071,Detroit,2012-10-01 23:00:00
905072,Detroit,2012-10-02 00:00:00
905073,Detroit,2012-10-02 01:00:00
905074,Detroit,2012-10-02 02:00:00
905075,Detroit,2012-10-02 03:00:00
905076,Detroit,2012-10-02 04:00:00
905077,Detroit,2012-10-02 05:00:00
905078,Detroit,2012-10-02 06:00:00
905079,Detroit,2012-10-02 07:00:00
905080,Detroit,2012-10-02 08:00:00
905081,Detroit,2012-10-02 09:00:00
905082,Detroit,2012-10-02 10:00:00
905083,Detroit,2012-10-02 11:00:00
905084,Detroit,2012-10-02 12:00:00
905085,Detroit,2012-10-02 13:00:00
905086,Detroit,2012-10-02 14:00:00
905087,Detroit,2012-10-02 15:00:00
905088,Detroit,2012-10-02 16:00:00
905089,Detroit,2012-10-02 17:00:00
905090,Detroit,2012-10-02 18:00:00
905091,Detroit,2012-10-02 19:00:00
905092,Detroit,2012-10-02 20:00:00
905093,Detroit,2012-10-02 21:00:00
905094,Detroit,2012-10-02 22:00:00
905095,Detroit,2012-10-02 23:00:00
905096,Detroit,2012-10-03 00:00:00
905097,Detroit,2012-10-03 01:00:00
905098,Detroit,2012-10-03 02:00:00
905099,Detroit,2012-10-03 03:00:00
905100,Detroit,2012-10-03 04:00:00
905101,Detroit,2012-10-03 05:00:00
905102,Detroit,2012-10-03 06:00:00
905103,Detroit,2012-10-03 07:00:00
905104,Detroit,2012-10-03 08:00:00
905105,Detroit,2012-10-03 09:00:00
905106,Detroit,2012-10-03 10:00:00
905107,Detroit,2012-10-03 11:00:00
905108,Detroit,2012-10-03 12:00:00
905109,Detroit,2012-10-03 13:00:00
905110,Detroit,2012-10-03 14:00:00
905111,Detroit,2012-10-03 15:00:00
905112,Detroit,2012-10-03 16:00:00
905113,Detroit,2012-10-03 17:00:00
905114,Detroit,2012-10-03 18:00:00
905115,Detroit,2012-10-03 19:00:00
905116,Detroit,2012-10-03 20:00:00
905117,Detroit,2012-10-03 21:00:00
905118,Detroit,2012-10-03 22:00:00
905119,Detroit,2012-10-03 23:00:00
905120,Detroit,2012-10-04 00:00:00
905121,Detroit,2012-10-04 01:00:00
905122,Detroit,2012-10-04 02:00:00
905123,Detroit,2012-10-04 03:00:00
905124,Detroit,2012-10-04 04:00:00
905125,Detroit,2012-10-04 05:00:00
905126,Detroit,2012-10-04 06:00:00
905127,Detroit,2012-10-04 07:00:00
905128,Detroit,2012-10-04 08:00:00
905129,Detroit,2012-10-04 09:00:00
905130,Detroit,2012-10-04 10:00:00
905131,Detroit,2012-10-04 11:00:00
905132,Detroit,2012-10-04 12:00:00
905133,Detroit,2012-10-04 13:00:00
905134,Detroit,2012-10-04 14:00:00
905135,Detroit,2012-10-04 15:00:00
905136,Detroit,2012-10-04 16:00:00
905137,Detroit,2012-10-04 17:00:00
905138,Detroit,2012-10-04 18:00:00
905139,Detroit,2012-10-04 19:00:00
905140,Detroit,2012-10-04 20:00:00
905141,Detroit,2012-10-04 21:00:00
905142,Detroit,2012-10-04 22:00:00
905143,Detroit,2012-10-04 23:00:00
905144,Detroit,2012-10-05 00:00:00
905145,Detroit,2012-10-05 01:00:00
905146,Detroit,2012-10-05 02:00:00
905147,Detroit,2012-10-05 03:00:00
905148,Detroit,2012-10-05 04:00:00
905149,Detroit,2012-10-05 05:00:00
905150,Detroit,2012-10-05 06:00:00
905151,Detroit,2012-10-05 07:00:00
905152,Detroit,2012-10-05 08:00:00
905153,Detroit,2012-10-05 09:00:00
905154,Detroit,2012-10-05 10:00:00
905155,Detroit,2012-10-05 11:00:00
905156,Detroit,2012-10-05 12:00:00
905157,Detroit,2012-10-05 13:00:00
905158,Detroit,2012-10-05 14:00:00
905159,Detroit,2012-10-05 15:00:00
905160,Detroit,2012-10-05 16:00:00
905161,Detroit,2012-10-05 17:00:00
905162,Detroit,2012-10-05 18:00:00
905163,Detroit,2012-10-05 19:00:00
905164,Detroit,2012-10-05 20:00:00
905165,Detroit,2012-10-05 21:00:00
905166,Detroit,2012-10-05 22:00:00
905167,Detroit,2012-10-05 23:00:00
905168,Detroit,2012-10-06 00:00:00
905169,Detroit,2012-10-06 01:00:00
905170,Detroit,2012-10-06 02:00:00
905171,Detroit,2012-10-06 03:00:00
905172,Detroit,2012-10-06 04:00:00
905173,Detroit,2012-10-06 05:00:00
905174,Detroit,2012-10-06 06:00:00
905175,Detroit,2012-10-06 07:00:00
905176,Detroit,2012-10-06 08:00:00
905177,Detroit,2012-10-06 09:00:00
905178,Detroit,2012-10-06 10:00:00
905179,Detroit,2012-10-06 11:00:00
905180,Detroit,2012-10-06 12:00:00
905181,Detroit,2012-10-06 13:00:00
905182,Detroit,2012-10-06 14:00:00
905183,Detroit,2012-10-06 15:00:00
905184,Detroit,2012-10-06 16:00:00
905185,Detroit,2012-10-06 17:00:00
905186,Detroit,2012-10-06 18:00:00
905187,Detroit,2012-10-06 19:00:00
905188,Detroit,2012-10-06 20:00:00
905189,Detroit,2012-10-06 21:00:00
905190,Detroit,2012-10-06 22:00:00
905191,Detroit,2012-10-06 23:00:00
905192,Detroit,2012-10-07 00:00:00
905193,Detroit,2012-10-07 01:00:00
905194,Detroit,2012-10-07 02:00:00
905195,Detroit,2012-10-07 03:00:00
