,City,datetime
543036,Houston,2012-10-01 12:00:00
543037,Houston,2012-10-01 13:00:00
543038,Houston,2012-10-01 14:00:00
543039,Houston,2012-10-01 15:00:00
543040,Houston,2012-10-01 16:00:00
543041,Houston,2012-10-01 17:00:00
543042,Houston,2012-10-01 18:00:00
543043,Houston,2012-10-01 19:00:00
543044,Houston,2012-10-01 20:00:00
543045,Houston,2012-10-01 21:00:00
543046,Houston,2012-10-01 22:00:00
543047,Houston,2012-10-01 23:00:00
543048,Houston,2012-10-02 00:00:00
543049,Houston,2012-10-02 01:00:00
543050,Houston,2012-10-02 02:00:00
543051,Houston,2012-10-02 03:00:00
543052,Houston,2012-10-02 04:00:00
543053,Houston,2012-10-02 05:00:00
543054,Houston,2012-10-02 06:00:00
543055,Houston,2012-10-02 07:00:00
543056,Houston,2012-10-02 08:00:00
543057,Houston,2012-10-02 09:00:00
543058,Houston,2012-10-02 10:00:00
543059,Houston,2012-10-02 11:00:00
543060,Houston,2012-10-02 12:00:00
543061,Houston,2012-10-02 13:00:00
543062,Houston,2012-10-02 14:00:00
543063,Houston,2012-10-02 15:00:00
543064,Houston,2012-10-02 16:00:00
543065,Houston,2012-10-02 17:00:00
543066,Houston,2012-10-02 18:00:00
543067,Houston,2012-10-02 19:00:00
543068,Houston,2012-10-02 20:00:00
543069,Houston,2012-10-02 21:00:00
543070,Houston,2012-10-02 22:00:00
543071,Houston,2012-10-02 23:00:00
543072,Houston,2012-10-03 00:00:00
543073,Houston,2012-10-03 01:00:00
543074,Houston,2012-10-03 02:00:00
543075,Houston,2012-10-03 03:00:00
543076,Houston,2012-10-03 04:00:00
543077,Houston,2012-10-03 05:00:00
543078,Houston,2012-10-03 06:00:00
543079,Houston,2012-10-03 07:00:00
543080,Houston,2012-10-03 08:00:00
543081,Houston,2012-10-03 09:00:00
543082,Houston,2012-10-03 10:00:00
543083,Houston,2012-10-03 11:00:00
543084,Houston,2012-10-03 12:00:00
543085,Houston,2012-10-03 13:00:00
543086,Houston,2012-10-03 14:00:00
543087,Houston,2012-10-03 15:00:00
543088,Houston,2012-10-03 16:00:00
543089,Houston,2012-10-03 17:00:00
543090,Houston,2012-10-03 18:00:00
543091,Houston,2012-10-03 19:00:00
543092,Houston,2012-10-03 20:00:00
543093,Houston,2012-10-03 21:00:00
543094,Houston,2012-10-03 22:00:00
543095,Houston,2012-10-03 23:00:00
543096,Houston,2012-10-04 00:00:00
543097,Houston,2012-10-04 01:00:00
543098,Houston,2012-10-04 02:00:00
543099,Houston,2012-10-04 03:00:00
543100,Houston,2012-10-04 04:00:00
543101,Houston,2012-10-04 05:00:00
543102,Houston,2012-10-04 06:00:00
543103,Houston,2012-10-04 07:00:00
543104,Houston,2012-10-04 08:00:00
543105,Houston,2012-10-04 09:00:00
543106,Houston,2012-10-04 10:00:00
543107,Houston,2012-10-04 11:00:00
543108,Houston,2012-10-04 12:00:00
543109,Houston,2012-10-04 13:00:00
543110,Houston,2012-10-04 14:00:00
543111,Houston,2012-10-04 15:00:00
543112,Houston,2012-10-04 16:00:00
