,City,datetime
814554,Indianapolis,2012-10-01 12:00:00
814555,Indianapolis,2012-10-01 13:00:00
814556,Indianapolis,2012-10-01 14:00:00
814557,Indianapolis,2012-10-01 15:00:00
814558,Indianapolis,2012-10-01 16:00:00
814559,Indianapolis,2012-10-01 17:00:00
814560,Indianapolis,2012-10-01 18:00:00
814561,Indianapolis,2012-10-01 19:00:00
814562,Indianapolis,2012-10-01 20:00:00
814563,Indianapolis,2012-10-01 21:00:00
814564,Indianapolis,2012-10-01 22:00:00
814565,Indianapolis,2012-10-01 23:00:00
814566,Indianapolis,2012-10-02 00:00:00
814567,Indianapolis,2012-10-02 01:00:00
814568,Indianapolis,2012-10-02 02:00:00
814569,Indianapolis,2012-10-02 03:00:00
814570,Indianapolis,2012-10-02 04:00:00
814571,Indianapolis,2012-10-02 05:00:00
814572,Indianapolis,2012-10-02 06:00:00
814573,Indianapolis,2012-10-02 07:00:00
814574,Indianapolis,2012-10-02 08:00:00
814575,Indianapolis,2012-10-02 09:00:00
814576,Indianapolis,2012-10-02 10:00:00
814577,Indianapolis,2012-10-02 11:00:00
814578,Indianapolis,2012-10-02 12:00:00
814579,Indianapolis,2012-10-02 13:00:00
814580,Indianapolis,2012-10-02 14:00:00
814581,Indianapolis,2012-10-02 15:00:00
814582,Indianapolis,2012-10-02 16:00:00
814583,Indianapolis,2012-10-02 17:00:00
814584,Indianapolis,2012-10-02 18:00:00
814585,Indianapolis,2012-10-02 19:00:00
814586,Indianapolis,2012-10-02 20:00:00
814587,Indianapolis,2012-10-02 21:00:00
814588,Indianapolis,2012-10-02 22:00:00
814589,Indianapolis,2012-10-02 23:00:00
814590,Indianapolis,2012-10-03 00:00:00
814591,Indianapolis,2012-10-03 01:00:00
814592,Indianapolis,2012-10-03 02:00:00
814593,Indianapolis,2012-10-03 03:00:00
814594,Indianapolis,2012-10-03 04:00:00
814595,Indianapolis,2012-10-03 05:00:00
814596,Indianapolis,2012-10-03 06:00:00
814597,Indianapolis,2012-10-03 07:00:00
814598,Indianapolis,2012-10-03 08:00:00
814599,Indianapolis,2012-10-03 09:00:00
814600,Indianapolis,2012-10-03 10:00:00
814601,Indianapolis,2012-10-03 11:00:00
814602,Indianapolis,2012-10-03 12:00:00
814603,Indianapolis,2012-10-03 13:00:00
814604,Indianapolis,2012-10-03 14:00:00
814605,Indianapolis,2012-10-03 15:00:00
814606,Indianapolis,2012-10-03 16:00:00
814607,Indianapolis,2012-10-03 17:00:00
814608,Indianapolis,2012-10-03 18:00:00
814609,Indianapolis,2012-10-03 19:00:00
814610,Indianapolis,2012-10-03 20:00:00
814611,Indianapolis,2012-10-03 21:00:00
814612,Indianapolis,2012-10-03 22:00:00
814613,Indianapolis,2012-10-03 23:00:00
814614,Indianapolis,2012-10-04 00:00:00
814615,Indianapolis,2012-10-04 01:00:00
814616,Indianapolis,2012-10-04 02:00:00
814617,Indianapolis,2012-10-04 03:00:00
814618,Indianapolis,2012-10-04 04:00:00
814619,Indianapolis,2012-10-04 05:00:00
814620,Indianapolis,2012-10-04 06:00:00
814621,Indianapolis,2012-10-04 07:00:00
814622,Indianapolis,2012-10-04 08:00:00
814623,Indianapolis,2012-10-04 09:00:00
814624,Indianapolis,2012-10-04 10:00:00
814625,Indianapolis,2012-10-04 11:00:00
814626,Indianapolis,2012-10-04 12:00:00
814627,Indianapolis,2012-10-04 13:00:00
814628,Indianapolis,2012-10-04 14:00:00
814629,Indianapolis,2012-10-04 15:00:00
814630,Indianapolis,2012-10-04 16:00:00
814631,Indianapolis,2012-10-04 17:00:00
814632,Indianapolis,2012-10-04 18:00:00
814633,Indianapolis,2012-10-04 19:00:00
814634,Indianapolis,2012-10-04 20:00:00
814635,Indianapolis,2012-10-04 21:00:00
814636,Indianapolis,2012-10-04 22:00:00
814637,Indianapolis,2012-10-04 23:00:00
814638,Indianapolis,2012-10-05 00:00:00
814639,Indianapolis,2012-10-05 01:00:00
814640,Indianapolis,2012-10-05 02:00:00
814641,Indianapolis,2012-10-05 03:00:00
814642,Indianapolis,2012-10-05 04:00:00
814643,Indianapolis,2012-10-05 05:00:00
814644,Indianapolis,2012-10-05 06:00:00
814645,Indianapolis,2012-10-05 07:00:00
