,City,datetime
950313,Jacksonville,2012-10-01 12:00:00
950314,Jacksonville,2012-10-01 13:00:00
950315,Jacksonville,2012-10-01 14:00:00
950316,Jacksonville,2012-10-01 15:00:00
950317,Jacksonville,2012-10-01 16:00:00
950318,Jacksonville,2012-10-01 17:00:00
950319,Jacksonville,2012-10-01 18:00:00
950320,Jacksonville,2012-10-01 19:00:00
950321,Jacksonville,2012-10-01 20:00:00
950322,Jacksonville,2012-10-01 21:00:00
950323,Jacksonville,2012-10-01 22:00:00
950324,Jacksonville,2012-10-01 23:00:00
950325,Jacksonville,2012-10-02 00:00:00
950326,Jacksonville,2012-10-02 01:00:00
950327,Jacksonville,2012-10-02 02:00:00
950328,Jacksonville,2012-10-02 03:00:00
950329,Jacksonville,2012-10-02 04:00:00
950330,Jacksonville,2012-10-02 05:00:00
950331,Jacksonville,2012-10-02 06:00:00
950332,Jacksonville,2012-10-02 07:00:00
950333,Jacksonville,2012-10-02 08:00:00
950334,Jacksonville,2012-10-02 09:00:00
950335,Jacksonville,2012-10-02 10:00:00
950336,Jacksonville,2012-10-02 11:00:00
950337,Jacksonville,2012-10-02 12:00:00
950338,Jacksonville,2012-10-02 13:00:00
950339,Jacksonville,2012-10-02 14:00:00
950340,Jacksonville,2012-10-02 15:00:00
950341,Jacksonville,2012-10-02 16:00:00
950342,Jacksonville,2012-10-02 17:00:00
950343,Jacksonville,2012-10-02 18:00:00
950344,Jacksonville,2012-10-02 19:00:00
950345,Jacksonville,2012-10-02 20:00:00
950346,Jacksonville,2012-10-02 21:00:00
950347,Jacksonville,2012-10-02 22:00:00
950348,Jacksonville,2012-10-02 23:00:00
950349,Jacksonville,2012-10-03 00:00:00
950350,Jacksonville,2012-10-03 01:00:00
950351,Jacksonville,2012-10-03 02:00:00
950352,Jacksonville,2012-10-03 03:00:00
950353,Jacksonville,2012-10-03 04:00:00
950354,Jacksonville,2012-10-03 05:00:00
950355,Jacksonville,2012-10-03 06:00:00
950356,Jacksonville,2012-10-03 07:00:00
950357,Jacksonville,2012-10-03 08:00:00
950358,Jacksonville,2012-10-03 09:00:00
950359,Jacksonville,2012-10-03 10:00:00
950360,Jacksonville,2012-10-03 11:00:00
950361,Jacksonville,2012-10-03 12:00:00
950362,Jacksonville,2012-10-03 13:00:00
950363,Jacksonville,2012-10-03 14:00:00
950364,Jacksonville,2012-10-03 15:00:00
950365,Jacksonville,2012-10-03 16:00:00
950366,Jacksonville,2012-10-03 17:00:00
950367,Jacksonville,2012-10-03 18:00:00
950368,Jacksonville,2012-10-03 19:00:00
950369,Jacksonville,2012-10-03 20:00:00
950370,Jacksonville,2012-10-03 21:00:00
950371,Jacksonville,2012-10-03 22:00:00
950372,Jacksonville,2012-10-03 23:00:00
950373,Jacksonville,2012-10-04 00:00:00
950374,Jacksonville,2012-10-04 01:00:00
950375,Jacksonville,2012-10-04 02:00:00
950376,Jacksonville,2012-10-04 03:00:00
950377,Jacksonville,2012-10-04 04:00:00
950378,Jacksonville,2012-10-04 05:00:00
950379,Jacksonville,2012-10-04 06:00:00
950380,Jacksonville,2012-10-04 07:00:00
950381,Jacksonville,2012-10-04 08:00:00
950382,Jacksonville,2012-10-04 09:00:00
950383,Jacksonville,2012-10-04 10:00:00
950384,Jacksonville,2012-10-04 11:00:00
950385,Jacksonville,2012-10-04 12:00:00
950386,Jacksonville,2012-10-04 13:00:00
950387,Jacksonville,2012-10-04 14:00:00
950388,Jacksonville,2012-10-04 15:00:00
950389,Jacksonville,2012-10-04 16:00:00
950390,Jacksonville,2012-10-04 17:00:00
950391,Jacksonville,2012-10-04 18:00:00
950392,Jacksonville,2012-10-04 19:00:00
950393,Jacksonville,2012-10-04 20:00:00
950394,Jacksonville,2012-10-04 21:00:00
950395,Jacksonville,2012-10-04 22:00:00
950396,Jacksonville,2012-10-04 23:00:00
950397,Jacksonville,2012-10-05 00:00:00
950398,Jacksonville,2012-10-05 01:00:00
950399,Jacksonville,2012-10-05 02:00:00
950400,Jacksonville,2012-10-05 03:00:00
950401,Jacksonville,2012-10-05 04:00:00
950402,Jacksonville,2012-10-05 05:00:00
950403,Jacksonville,2012-10-05 06:00:00
950404,Jacksonville,2012-10-05 07:00:00
950405,Jacksonville,2012-10-05 08:00:00
950406,Jacksonville,2012-10-05 09:00:00
950407,Jacksonville,2012-10-05 10:00:00
950408,Jacksonville,2012-10-05 11:00:00
950409,Jacksonville,2012-10-05 12:00:00
950410,Jacksonville,2012-10-05 13:00:00
950411,Jacksonville,2012-10-05 14:00:00
950412,Jacksonville,2012-10-05 15:00:00
950413,Jacksonville,2012-10-05 16:00:00
950414,Jacksonville,2012-10-05 17:00:00
950415,Jacksonville,2012-10-05 18:00:00
950416,Jacksonville,2012-10-05 19:00:00
950417,Jacksonville,2012-10-05 20:00:00
950418,Jacksonville,2012-10-05 21:00:00
950419,Jacksonville,2012-10-05 22:00:00
950420,Jacksonville,2012-10-05 23:00:00
950421,Jacksonville,2012-10-06 00:00:00
950422,Jacksonville,2012-10-06 01:00:00
