,City,datetime
1583855,Jerusalem,2012-10-01 12:00:00
1583856,Jerusalem,2012-10-01 13:00:00
1583857,Jerusalem,2012-10-01 14:00:00
1583858,Jerusalem,2012-10-01 15:00:00
1583859,Jerusalem,2012-10-01 16:00:00
1583860,Jerusalem,2012-10-01 17:00:00
1583861,Jerusalem,2012-10-01 18:00:00
1583862,Jerusalem,2012-10-01 19:00:00
1583863,Jerusalem,2012-10-01 20:00:00
1583864,Jerusalem,2012-10-01 21:00:00
1583865,Jerusalem,2012-10-01 22:00:00
1583866,Jerusalem,2012-10-01 23:00:00
1583867,Jerusalem,2012-10-02 00:00:00
1583868,Jerusalem,2012-10-02 01:00:00
1583869,Jerusalem,2012-10-02 02:00:00
1583870,Jerusalem,2012-10-02 03:00:00
1583871,Jerusalem,2012-10-02 04:00:00
1583872,Jerusalem,2012-10-02 05:00:00
1583873,Jerusalem,2012-10-02 06:00:00
1583874,Jerusalem,2012-10-02 07:00:00
1583875,Jerusalem,2012-10-02 08:00:00
1583876,Jerusalem,2012-10-02 09:00:00
1583877,Jerusalem,2012-10-02 10:00:00
1583878,Jerusalem,2012-10-02 11:00:00
1583879,Jerusalem,2012-10-02 12:00:00
1583880,Jerusalem,2012-10-02 13:00:00
1583881,Jerusalem,2012-10-02 14:00:00
1583882,Jerusalem,2012-10-02 15:00:00
1583883,Jerusalem,2012-10-02 16:00:00
1583884,Jerusalem,2012-10-02 17:00:00
1583885,Jerusalem,2012-10-02 18:00:00
1583886,Jerusalem,2012-10-02 19:00:00
1583887,Jerusalem,2012-10-02 20:00:00
1583888,Jerusalem,2012-10-02 21:00:00
1583889,Jerusalem,2012-10-02 22:00:00
1583890,Jerusalem,2012-10-02 23:00:00
1583891,Jerusalem,2012-10-03 00:00:00
1583892,Jerusalem,2012-10-03 01:00:00
1583893,Jerusalem,2012-10-03 02:00:00
1583894,Jerusalem,2012-10-03 03:00:00
1583895,Jerusalem,2012-10-03 04:00:00
1583896,Jerusalem,2012-10-03 05:00:00
1583897,Jerusalem,2012-10-03 06:00:00
1583898,Jerusalem,2012-10-03 07:00:00
1583899,Jerusalem,2012-10-03 08:00:00
1583900,Jerusalem,2012-10-03 09:00:00
1583901,Jerusalem,2012-10-03 10:00:00
1583902,Jerusalem,2012-10-03 11:00:00
1583903,Jerusalem,2012-10-03 12:00:00
1583904,Jerusalem,2012-10-03 13:00:00
1583905,Jerusalem,2012-10-03 14:00:00
1583906,Jerusalem,2012-10-03 15:00:00
1583907,Jerusalem,2012-10-03 16:00:00
1583908,Jerusalem,2012-10-03 17:00:00
1583909,Jerusalem,2012-10-03 18:00:00
