,City,datetime
588289,Kansas City,2012-10-01 12:00:00
588290,Kansas City,2012-10-01 13:00:00
588291,Kansas City,2012-10-01 14:00:00
588292,Kansas City,2012-10-01 15:00:00
588293,Kansas City,2012-10-01 16:00:00
588294,Kansas City,2012-10-01 17:00:00
588295,Kansas City,2012-10-01 18:00:00
588296,Kansas City,2012-10-01 19:00:00
588297,Kansas City,2012-10-01 20:00:00
588298,Kansas City,2012-10-01 21:00:00
588299,Kansas City,2012-10-01 22:00:00
588300,Kansas City,2012-10-01 23:00:00
588301,Kansas City,2012-10-02 00:00:00
588302,Kansas City,2012-10-02 01:00:00
588303,Kansas City,2012-10-02 02:00:00
588304,Kansas City,2012-10-02 03:00:00
588305,Kansas City,2012-10-02 04:00:00
588306,Kansas City,2012-10-02 05:00:00
588307,Kansas City,2012-10-02 06:00:00
588308,Kansas City,2012-10-02 07:00:00
588309,Kansas City,2012-10-02 08:00:00
588310,Kansas City,2012-10-02 09:00:00
588311,Kansas City,2012-10-02 10:00:00
588312,Kansas City,2012-10-02 11:00:00
588313,Kansas City,2012-10-02 12:00:00
588314,Kansas City,2012-10-02 13:00:00
588315,Kansas City,2012-10-02 14:00:00
588316,Kansas City,2012-10-02 15:00:00
588317,Kansas City,2012-10-02 16:00:00
588318,Kansas City,2012-10-02 17:00:00
588319,Kansas City,2012-10-02 18:00:00
588320,Kansas City,2012-10-02 19:00:00
588321,Kansas City,2012-10-02 20:00:00
588322,Kansas City,2012-10-02 21:00:00
588323,Kansas City,2012-10-02 22:00:00
588324,Kansas City,2012-10-02 23:00:00
588325,Kansas City,2012-10-03 00:00:00
588326,Kansas City,2012-10-03 01:00:00
588327,Kansas City,2012-10-03 02:00:00
588328,Kansas City,2012-10-03 03:00:00
588329,Kansas City,2012-10-03 04:00:00
588330,Kansas City,2012-10-03 05:00:00
588331,Kansas City,2012-10-03 06:00:00
588332,Kansas City,2012-10-03 07:00:00
588333,Kansas City,2012-10-03 08:00:00
588334,Kansas City,2012-10-03 09:00:00
588335,Kansas City,2012-10-03 10:00:00
588336,Kansas City,2012-10-03 11:00:00
588337,Kansas City,2012-10-03 12:00:00
588338,Kansas City,2012-10-03 13:00:00
588339,Kansas City,2012-10-03 14:00:00
588340,Kansas City,2012-10-03 15:00:00
588341,Kansas City,2012-10-03 16:00:00
588342,Kansas City,2012-10-03 17:00:00
588343,Kansas City,2012-10-03 18:00:00
588344,Kansas City,2012-10-03 19:00:00
588345,Kansas City,2012-10-03 20:00:00
588346,Kansas City,2012-10-03 21:00:00
588347,Kansas City,2012-10-03 22:00:00
588348,Kansas City,2012-10-03 23:00:00
588349,Kansas City,2012-10-04 00:00:00
588350,Kansas City,2012-10-04 01:00:00
588351,Kansas City,2012-10-04 02:00:00
588352,Kansas City,2012-10-04 03:00:00
588353,Kansas City,2012-10-04 04:00:00
588354,Kansas City,2012-10-04 05:00:00
588355,Kansas City,2012-10-04 06:00:00
588356,Kansas City,2012-10-04 07:00:00
588357,Kansas City,2012-10-04 08:00:00
588358,Kansas City,2012-10-04 09:00:00
588359,Kansas City,2012-10-04 10:00:00
588360,Kansas City,2012-10-04 11:00:00
588361,Kansas City,2012-10-04 12:00:00
588362,Kansas City,2012-10-04 13:00:00
588363,Kansas City,2012-10-04 14:00:00
588364,Kansas City,2012-10-04 15:00:00
588365,Kansas City,2012-10-04 16:00:00
588366,Kansas City,2012-10-04 17:00:00
588367,Kansas City,2012-10-04 18:00:00
588368,Kansas City,2012-10-04 19:00:00
588369,Kansas City,2012-10-04 20:00:00
588370,Kansas City,2012-10-04 21:00:00
588371,Kansas City,2012-10-04 22:00:00
588372,Kansas City,2012-10-04 23:00:00
588373,Kansas City,2012-10-05 00:00:00
588374,Kansas City,2012-10-05 01:00:00
588375,Kansas City,2012-10-05 02:00:00
588376,Kansas City,2012-10-05 03:00:00
588377,Kansas City,2012-10-05 04:00:00
588378,Kansas City,2012-10-05 05:00:00
588379,Kansas City,2012-10-05 06:00:00
588380,Kansas City,2012-10-05 07:00:00
588381,Kansas City,2012-10-05 08:00:00
588382,Kansas City,2012-10-05 09:00:00
588383,Kansas City,2012-10-05 10:00:00
588384,Kansas City,2012-10-05 11:00:00
588385,Kansas City,2012-10-05 12:00:00
588386,Kansas City,2012-10-05 13:00:00
588387,Kansas City,2012-10-05 14:00:00
588388,Kansas City,2012-10-05 15:00:00
588389,Kansas City,2012-10-05 16:00:00
588390,Kansas City,2012-10-05 17:00:00
588391,Kansas City,2012-10-05 18:00:00
588392,Kansas City,2012-10-05 19:00:00
588393,Kansas City,2012-10-05 20:00:00
588394,Kansas City,2012-10-05 21:00:00
588395,Kansas City,2012-10-05 22:00:00
588396,Kansas City,2012-10-05 23:00:00
588397,Kansas City,2012-10-06 00:00:00
588398,Kansas City,2012-10-06 01:00:00
588399,Kansas City,2012-10-06 02:00:00
588400,Kansas City,2012-10-06 03:00:00
588401,Kansas City,2012-10-06 04:00:00
588402,Kansas City,2012-10-06 05:00:00
588403,Kansas City,2012-10-06 06:00:00
588404,Kansas City,2012-10-06 07:00:00
588405,Kansas City,2012-10-06 08:00:00
588406,Kansas City,2012-10-06 09:00:00
588407,Kansas City,2012-10-06 10:00:00
588408,Kansas City,2012-10-06 11:00:00
588409,Kansas City,2012-10-06 12:00:00
588410,Kansas City,2012-10-06 13:00:00
588411,Kansas City,2012-10-06 14:00:00
588412,Kansas City,2012-10-06 15:00:00
588413,Kansas City,2012-10-06 16:00:00
588414,Kansas City,2012-10-06 17:00:00
588415,Kansas City,2012-10-06 18:00:00
588416,Kansas City,2012-10-06 19:00:00
588417,Kansas City,2012-10-06 20:00:00
588418,Kansas City,2012-10-06 21:00:00
588419,Kansas City,2012-10-06 22:00:00
588420,Kansas City,2012-10-06 23:00:00
588421,Kansas City,2012-10-07 00:00:00
588422,Kansas City,2012-10-07 01:00:00
588423,Kansas City,2012-10-07 02:00:00
588424,Kansas City,2012-10-07 03:00:00
588425,Kansas City,2012-10-07 04:00:00
588426,Kansas City,2012-10-07 05:00:00
588427,Kansas City,2012-10-07 06:00:00
588428,Kansas City,2012-10-07 07:00:00
588429,Kansas City,2012-10-07 08:00:00
588430,Kansas City,2012-10-07 09:00:00
588431,Kansas City,2012-10-07 10:00:00
588432,Kansas City,2012-10-07 11:00:00
588433,Kansas City,2012-10-07 12:00:00
588434,Kansas City,2012-10-07 13:00:00
588435,Kansas City,2012-10-07 14:00:00
588436,Kansas City,2012-10-07 15:00:00
588437,Kansas City,2012-10-07 16:00:00
588438,Kansas City,2012-10-07 17:00:00
588439,Kansas City,2012-10-07 18:00:00
588440,Kansas City,2012-10-07 19:00:00
588441,Kansas City,2012-10-07 20:00:00
588442,Kansas City,2012-10-07 21:00:00
588443,Kansas City,2012-10-07 22:00:00
588444,Kansas City,2012-10-07 23:00:00
588445,Kansas City,2012-10-08 00:00:00
588446,Kansas City,2012-10-08 01:00:00
588447,Kansas City,2012-10-08 02:00:00
588448,Kansas City,2012-10-08 03:00:00
588449,Kansas City,2012-10-08 04:00:00
588450,Kansas City,2012-10-08 05:00:00
588451,Kansas City,2012-10-08 06:00:00
588452,Kansas City,2012-10-08 07:00:00
588453,Kansas City,2012-10-08 08:00:00
588454,Kansas City,2012-10-08 09:00:00
588455,Kansas City,2012-10-08 10:00:00
588456,Kansas City,2012-10-08 11:00:00
588457,Kansas City,2012-10-08 12:00:00
588458,Kansas City,2012-10-08 13:00:00
588459,Kansas City,2012-10-08 14:00:00
588460,Kansas City,2012-10-08 15:00:00
588461,Kansas City,2012-10-08 16:00:00
588462,Kansas City,2012-10-08 17:00:00
588463,Kansas City,2012-10-08 18:00:00
588464,Kansas City,2012-10-08 19:00:00
588465,Kansas City,2012-10-08 20:00:00
588466,Kansas City,2012-10-08 21:00:00
588467,Kansas City,2012-10-08 22:00:00
588468,Kansas City,2012-10-08 23:00:00
588469,Kansas City,2012-10-09 00:00:00
588470,Kansas City,2012-10-09 01:00:00
588471,Kansas City,2012-10-09 02:00:00
588472,Kansas City,2012-10-09 03:00:00
588473,Kansas City,2012-10-09 04:00:00
588474,Kansas City,2012-10-09 05:00:00
588475,Kansas City,2012-10-09 06:00:00
588476,Kansas City,2012-10-09 07:00:00
588477,Kansas City,2012-10-09 08:00:00
588478,Kansas City,2012-10-09 09:00:00
588479,Kansas City,2012-10-09 10:00:00
588480,Kansas City,2012-10-09 11:00:00
588481,Kansas City,2012-10-09 12:00:00
588482,Kansas City,2012-10-09 13:00:00
588483,Kansas City,2012-10-09 14:00:00
588484,Kansas City,2012-10-09 15:00:00
588485,Kansas City,2012-10-09 16:00:00
588486,Kansas City,2012-10-09 17:00:00
588487,Kansas City,2012-10-09 18:00:00
588488,Kansas City,2012-10-09 19:00:00
588489,Kansas City,2012-10-09 20:00:00
588490,Kansas City,2012-10-09 21:00:00
588491,Kansas City,2012-10-09 22:00:00
588492,Kansas City,2012-10-09 23:00:00
588493,Kansas City,2012-10-10 00:00:00
588494,Kansas City,2012-10-10 01:00:00
588495,Kansas City,2012-10-10 02:00:00
588496,Kansas City,2012-10-10 03:00:00
588497,Kansas City,2012-10-10 04:00:00
588498,Kansas City,2012-10-10 05:00:00
588499,Kansas City,2012-10-10 06:00:00
588500,Kansas City,2012-10-10 07:00:00
588501,Kansas City,2012-10-10 08:00:00
588502,Kansas City,2012-10-10 09:00:00
588503,Kansas City,2012-10-10 10:00:00
588504,Kansas City,2012-10-10 11:00:00
588505,Kansas City,2012-10-10 12:00:00
588506,Kansas City,2012-10-10 13:00:00
588507,Kansas City,2012-10-10 14:00:00
588508,Kansas City,2012-10-10 15:00:00
588509,Kansas City,2012-10-10 16:00:00
588510,Kansas City,2012-10-10 17:00:00
588511,Kansas City,2012-10-10 18:00:00
588512,Kansas City,2012-10-10 19:00:00
588513,Kansas City,2012-10-10 20:00:00
588514,Kansas City,2012-10-10 21:00:00
588515,Kansas City,2012-10-10 22:00:00
588516,Kansas City,2012-10-10 23:00:00
588517,Kansas City,2012-10-11 00:00:00
588518,Kansas City,2012-10-11 01:00:00
588519,Kansas City,2012-10-11 02:00:00
588520,Kansas City,2012-10-11 03:00:00
588521,Kansas City,2012-10-11 04:00:00
588522,Kansas City,2012-10-11 05:00:00
588523,Kansas City,2012-10-11 06:00:00
588524,Kansas City,2012-10-11 07:00:00
588525,Kansas City,2012-10-11 08:00:00
588526,Kansas City,2012-10-11 09:00:00
588527,Kansas City,2012-10-11 10:00:00
588528,Kansas City,2012-10-11 11:00:00
588529,Kansas City,2012-10-11 12:00:00
588530,Kansas City,2012-10-11 13:00:00
588531,Kansas City,2012-10-11 14:00:00
588532,Kansas City,2012-10-11 15:00:00
588533,Kansas City,2012-10-11 16:00:00
588534,Kansas City,2012-10-11 17:00:00
588535,Kansas City,2012-10-11 18:00:00
588536,Kansas City,2012-10-11 19:00:00
588537,Kansas City,2012-10-11 20:00:00
588538,Kansas City,2012-10-11 21:00:00
588539,Kansas City,2012-10-11 22:00:00
588540,Kansas City,2012-10-11 23:00:00
588541,Kansas City,2012-10-12 00:00:00
588542,Kansas City,2012-10-12 01:00:00
588543,Kansas City,2012-10-12 02:00:00
588544,Kansas City,2012-10-12 03:00:00
588545,Kansas City,2012-10-12 04:00:00
588546,Kansas City,2012-10-12 05:00:00
588547,Kansas City,2012-10-12 06:00:00
588548,Kansas City,2012-10-12 07:00:00
588549,Kansas City,2012-10-12 08:00:00
588550,Kansas City,2012-10-12 09:00:00
588551,Kansas City,2012-10-12 10:00:00
588552,Kansas City,2012-10-12 11:00:00
588553,Kansas City,2012-10-12 12:00:00
588554,Kansas City,2012-10-12 13:00:00
588555,Kansas City,2012-10-12 14:00:00
588556,Kansas City,2012-10-12 15:00:00
588557,Kansas City,2012-10-12 16:00:00
588558,Kansas City,2012-10-12 17:00:00
588559,Kansas City,2012-10-12 18:00:00
588560,Kansas City,2012-10-12 19:00:00
588561,Kansas City,2012-10-12 20:00:00
588562,Kansas City,2012-10-12 21:00:00
588563,Kansas City,2012-10-12 22:00:00
588564,Kansas City,2012-10-12 23:00:00
588565,Kansas City,2012-10-13 00:00:00
588566,Kansas City,2012-10-13 01:00:00
588567,Kansas City,2012-10-13 02:00:00
588568,Kansas City,2012-10-13 03:00:00
588569,Kansas City,2012-10-13 04:00:00
588570,Kansas City,2012-10-13 05:00:00
588571,Kansas City,2012-10-13 06:00:00
588572,Kansas City,2012-10-13 07:00:00
588573,Kansas City,2012-10-13 08:00:00
588574,Kansas City,2012-10-13 09:00:00
588575,Kansas City,2012-10-13 10:00:00
588576,Kansas City,2012-10-13 11:00:00
588577,Kansas City,2012-10-13 12:00:00
588578,Kansas City,2012-10-13 13:00:00
588579,Kansas City,2012-10-13 14:00:00
588580,Kansas City,2012-10-13 15:00:00
588581,Kansas City,2012-10-13 16:00:00
588582,Kansas City,2012-10-13 17:00:00
588583,Kansas City,2012-10-13 18:00:00
588584,Kansas City,2012-10-13 19:00:00
588585,Kansas City,2012-10-13 20:00:00
588586,Kansas City,2012-10-13 21:00:00
588587,Kansas City,2012-10-13 22:00:00
588588,Kansas City,2012-10-13 23:00:00
588589,Kansas City,2012-10-14 00:00:00
588590,Kansas City,2012-10-14 01:00:00
588591,Kansas City,2012-10-14 02:00:00
588592,Kansas City,2012-10-14 03:00:00
588593,Kansas City,2012-10-14 04:00:00
588594,Kansas City,2012-10-14 05:00:00
588595,Kansas City,2012-10-14 06:00:00
588596,Kansas City,2012-10-14 07:00:00
588597,Kansas City,2012-10-14 08:00:00
588598,Kansas City,2012-10-14 09:00:00
588599,Kansas City,2012-10-14 10:00:00
588600,Kansas City,2012-10-14 11:00:00
588601,Kansas City,2012-10-14 12:00:00
588602,Kansas City,2012-10-14 13:00:00
588603,Kansas City,2012-10-14 14:00:00
588604,Kansas City,2012-10-14 15:00:00
588605,Kansas City,2012-10-14 16:00:00
588606,Kansas City,2012-10-14 17:00:00
588607,Kansas City,2012-10-14 18:00:00
588608,Kansas City,2012-10-14 19:00:00
588609,Kansas City,2012-10-14 20:00:00
588610,Kansas City,2012-10-14 21:00:00
588611,Kansas City,2012-10-14 22:00:00
588612,Kansas City,2012-10-14 23:00:00
588613,Kansas City,2012-10-15 00:00:00
588614,Kansas City,2012-10-15 01:00:00
588615,Kansas City,2012-10-15 02:00:00
588616,Kansas City,2012-10-15 03:00:00
588617,Kansas City,2012-10-15 04:00:00
588618,Kansas City,2012-10-15 05:00:00
588619,Kansas City,2012-10-15 06:00:00
588620,Kansas City,2012-10-15 07:00:00
588621,Kansas City,2012-10-15 08:00:00
588622,Kansas City,2012-10-15 09:00:00
588623,Kansas City,2012-10-15 10:00:00
588624,Kansas City,2012-10-15 11:00:00
588625,Kansas City,2012-10-15 12:00:00
588626,Kansas City,2012-10-15 13:00:00
588627,Kansas City,2012-10-15 14:00:00
588628,Kansas City,2012-10-15 15:00:00
588629,Kansas City,2012-10-15 16:00:00
588630,Kansas City,2012-10-15 17:00:00
588631,Kansas City,2012-10-15 18:00:00
588632,Kansas City,2012-10-15 19:00:00
588633,Kansas City,2012-10-15 20:00:00
588634,Kansas City,2012-10-15 21:00:00
588635,Kansas City,2012-10-15 22:00:00
588636,Kansas City,2012-10-15 23:00:00
588637,Kansas City,2012-10-16 00:00:00
588638,Kansas City,2012-10-16 01:00:00
588639,Kansas City,2012-10-16 02:00:00
