,City,datetime
181012,Los Angeles,2012-10-01 12:00:00
181013,Los Angeles,2012-10-01 13:00:00
181014,Los Angeles,2012-10-01 14:00:00
181015,Los Angeles,2012-10-01 15:00:00
181016,Los Angeles,2012-10-01 16:00:00
181017,Los Angeles,2012-10-01 17:00:00
181018,Los Angeles,2012-10-01 18:00:00
181019,Los Angeles,2012-10-01 19:00:00
181020,Los Angeles,2012-10-01 20:00:00
181021,Los Angeles,2012-10-01 21:00:00
181022,Los Angeles,2012-10-01 22:00:00
181023,Los Angeles,2012-10-01 23:00:00
181024,Los Angeles,2012-10-02 00:00:00
181025,Los Angeles,2012-10-02 01:00:00
181026,Los Angeles,2012-10-02 02:00:00
181027,Los Angeles,2012-10-02 03:00:00
181028,Los Angeles,2012-10-02 04:00:00
181029,Los Angeles,2012-10-02 05:00:00
181030,Los Angeles,2012-10-02 06:00:00
181031,Los Angeles,2012-10-02 07:00:00
181032,Los Angeles,2012-10-02 08:00:00
181033,Los Angeles,2012-10-02 09:00:00
181034,Los Angeles,2012-10-02 10:00:00
181035,Los Angeles,2012-10-02 11:00:00
181036,Los Angeles,2012-10-02 12:00:00
181037,Los Angeles,2012-10-02 13:00:00
181038,Los Angeles,2012-10-02 14:00:00
181039,Los Angeles,2012-10-02 15:00:00
181040,Los Angeles,2012-10-02 16:00:00
181041,Los Angeles,2012-10-02 17:00:00
181042,Los Angeles,2012-10-02 18:00:00
181043,Los Angeles,2012-10-02 19:00:00
181044,Los Angeles,2012-10-02 20:00:00
181045,Los Angeles,2012-10-02 21:00:00
181046,Los Angeles,2012-10-02 22:00:00
181047,Los Angeles,2012-10-02 23:00:00
181048,Los Angeles,2012-10-03 00:00:00
181049,Los Angeles,2012-10-03 01:00:00
181050,Los Angeles,2012-10-03 02:00:00
181051,Los Angeles,2012-10-03 03:00:00
181052,Los Angeles,2012-10-03 04:00:00
181053,Los Angeles,2012-10-03 05:00:00
181054,Los Angeles,2012-10-03 06:00:00
181055,Los Angeles,2012-10-03 07:00:00
181056,Los Angeles,2012-10-03 08:00:00
181057,Los Angeles,2012-10-03 09:00:00
181058,Los Angeles,2012-10-03 10:00:00
181059,Los Angeles,2012-10-03 11:00:00
181060,Los Angeles,2012-10-03 12:00:00
181061,Los Angeles,2012-10-03 13:00:00
181062,Los Angeles,2012-10-03 14:00:00
181063,Los Angeles,2012-10-03 15:00:00
181064,Los Angeles,2012-10-03 16:00:00
181065,Los Angeles,2012-10-03 17:00:00
181066,Los Angeles,2012-10-03 18:00:00
181067,Los Angeles,2012-10-03 19:00:00
181068,Los Angeles,2012-10-03 20:00:00
181069,Los Angeles,2012-10-03 21:00:00
181070,Los Angeles,2012-10-03 22:00:00
181071,Los Angeles,2012-10-03 23:00:00
181072,Los Angeles,2012-10-04 00:00:00
181073,Los Angeles,2012-10-04 01:00:00
181074,Los Angeles,2012-10-04 02:00:00
181075,Los Angeles,2012-10-04 03:00:00
181076,Los Angeles,2012-10-04 04:00:00
181077,Los Angeles,2012-10-04 05:00:00
181078,Los Angeles,2012-10-04 06:00:00
181079,Los Angeles,2012-10-04 07:00:00
181080,Los Angeles,2012-10-04 08:00:00
181081,Los Angeles,2012-10-04 09:00:00
181082,Los Angeles,2012-10-04 10:00:00
181083,Los Angeles,2012-10-04 11:00:00
181084,Los Angeles,2012-10-04 12:00:00
181085,Los Angeles,2012-10-04 13:00:00
181086,Los Angeles,2012-10-04 14:00:00
181087,Los Angeles,2012-10-04 15:00:00
181088,Los Angeles,2012-10-04 16:00:00
181089,Los Angeles,2012-10-04 17:00:00
181090,Los Angeles,2012-10-04 18:00:00
181091,Los Angeles,2012-10-04 19:00:00
181092,Los Angeles,2012-10-04 20:00:00
181093,Los Angeles,2012-10-04 21:00:00
181094,Los Angeles,2012-10-04 22:00:00
181095,Los Angeles,2012-10-04 23:00:00
181096,Los Angeles,2012-10-05 00:00:00
181097,Los Angeles,2012-10-05 01:00:00
181098,Los Angeles,2012-10-05 02:00:00
181099,Los Angeles,2012-10-05 03:00:00
181100,Los Angeles,2012-10-05 04:00:00
181101,Los Angeles,2012-10-05 05:00:00
181102,Los Angeles,2012-10-05 06:00:00
181103,Los Angeles,2012-10-05 07:00:00
181104,Los Angeles,2012-10-05 08:00:00
181105,Los Angeles,2012-10-05 09:00:00
181106,Los Angeles,2012-10-05 10:00:00
181107,Los Angeles,2012-10-05 11:00:00
181108,Los Angeles,2012-10-05 12:00:00
181109,Los Angeles,2012-10-05 13:00:00
181110,Los Angeles,2012-10-05 14:00:00
181111,Los Angeles,2012-10-05 15:00:00
181112,Los Angeles,2012-10-05 16:00:00
181113,Los Angeles,2012-10-05 17:00:00
181114,Los Angeles,2012-10-05 18:00:00
181115,Los Angeles,2012-10-05 19:00:00
181116,Los Angeles,2012-10-05 20:00:00
181117,Los Angeles,2012-10-05 21:00:00
181118,Los Angeles,2012-10-05 22:00:00
181119,Los Angeles,2012-10-05 23:00:00
181120,Los Angeles,2012-10-06 00:00:00
181121,Los Angeles,2012-10-06 01:00:00
181122,Los Angeles,2012-10-06 02:00:00
181123,Los Angeles,2012-10-06 03:00:00
181124,Los Angeles,2012-10-06 04:00:00
181125,Los Angeles,2012-10-06 05:00:00
181126,Los Angeles,2012-10-06 06:00:00
181127,Los Angeles,2012-10-06 07:00:00
181128,Los Angeles,2012-10-06 08:00:00
181129,Los Angeles,2012-10-06 09:00:00
181130,Los Angeles,2012-10-06 10:00:00
181131,Los Angeles,2012-10-06 11:00:00
181132,Los Angeles,2012-10-06 12:00:00
181133,Los Angeles,2012-10-06 13:00:00
181134,Los Angeles,2012-10-06 14:00:00
181135,Los Angeles,2012-10-06 15:00:00
181136,Los Angeles,2012-10-06 16:00:00
181137,Los Angeles,2012-10-06 17:00:00
181138,Los Angeles,2012-10-06 18:00:00
181139,Los Angeles,2012-10-06 19:00:00
181140,Los Angeles,2012-10-06 20:00:00
181141,Los Angeles,2012-10-06 21:00:00
181142,Los Angeles,2012-10-06 22:00:00
181143,Los Angeles,2012-10-06 23:00:00
181144,Los Angeles,2012-10-07 00:00:00
181145,Los Angeles,2012-10-07 01:00:00
181146,Los Angeles,2012-10-07 02:00:00
181147,Los Angeles,2012-10-07 03:00:00
181148,Los Angeles,2012-10-07 04:00:00
181149,Los Angeles,2012-10-07 05:00:00
181150,Los Angeles,2012-10-07 06:00:00
181151,Los Angeles,2012-10-07 07:00:00
181152,Los Angeles,2012-10-07 08:00:00
181153,Los Angeles,2012-10-07 09:00:00
181154,Los Angeles,2012-10-07 10:00:00
181155,Los Angeles,2012-10-07 11:00:00
181156,Los Angeles,2012-10-07 12:00:00
181157,Los Angeles,2012-10-07 13:00:00
181158,Los Angeles,2012-10-07 14:00:00
181159,Los Angeles,2012-10-07 15:00:00
181160,Los Angeles,2012-10-07 16:00:00
181161,Los Angeles,2012-10-07 17:00:00
181162,Los Angeles,2012-10-07 18:00:00
181163,Los Angeles,2012-10-07 19:00:00
181164,Los Angeles,2012-10-07 20:00:00
181165,Los Angeles,2012-10-07 21:00:00
181166,Los Angeles,2012-10-07 22:00:00
181167,Los Angeles,2012-10-07 23:00:00
181168,Los Angeles,2012-10-08 00:00:00
181169,Los Angeles,2012-10-08 01:00:00
181170,Los Angeles,2012-10-08 02:00:00
181171,Los Angeles,2012-10-08 03:00:00
181172,Los Angeles,2012-10-08 04:00:00
181173,Los Angeles,2012-10-08 05:00:00
181174,Los Angeles,2012-10-08 06:00:00
181175,Los Angeles,2012-10-08 07:00:00
181176,Los Angeles,2012-10-08 08:00:00
181177,Los Angeles,2012-10-08 09:00:00
181178,Los Angeles,2012-10-08 10:00:00
181179,Los Angeles,2012-10-08 11:00:00
181180,Los Angeles,2012-10-08 12:00:00
