,City,datetime
1040819,Miami,2012-10-01 12:00:00
1040820,Miami,2012-10-01 13:00:00
1040821,Miami,2012-10-01 14:00:00
1040822,Miami,2012-10-01 15:00:00
1040823,Miami,2012-10-01 16:00:00
1040824,Miami,2012-10-01 17:00:00
1040825,Miami,2012-10-01 18:00:00
1040826,Miami,2012-10-01 19:00:00
1040827,Miami,2012-10-01 20:00:00
1040828,Miami,2012-10-01 21:00:00
1040829,Miami,2012-10-01 22:00:00
1040830,Miami,2012-10-01 23:00:00
1040831,Miami,2012-10-02 00:00:00
1040832,Miami,2012-10-02 01:00:00
1040833,Miami,2012-10-02 02:00:00
1040834,Miami,2012-10-02 03:00:00
1040835,Miami,2012-10-02 04:00:00
1040836,Miami,2012-10-02 05:00:00
1040837,Miami,2012-10-02 06:00:00
1040838,Miami,2012-10-02 07:00:00
1040839,Miami,2012-10-02 08:00:00
1040840,Miami,2012-10-02 09:00:00
1040841,Miami,2012-10-02 10:00:00
1040842,Miami,2012-10-02 11:00:00
1040843,Miami,2012-10-02 12:00:00
1040844,Miami,2012-10-02 13:00:00
1040845,Miami,2012-10-02 14:00:00
1040846,Miami,2012-10-02 15:00:00
1040847,Miami,2012-10-02 16:00:00
1040848,Miami,2012-10-02 17:00:00
1040849,Miami,2012-10-02 18:00:00
1040850,Miami,2012-10-02 19:00:00
1040851,Miami,2012-10-02 20:00:00
1040852,Miami,2012-10-02 21:00:00
1040853,Miami,2012-10-02 22:00:00
1040854,Miami,2012-10-02 23:00:00
1040855,Miami,2012-10-03 00:00:00
1040856,Miami,2012-10-03 01:00:00
1040857,Miami,2012-10-03 02:00:00
1040858,Miami,2012-10-03 03:00:00
1040859,Miami,2012-10-03 04:00:00
1040860,Miami,2012-10-03 05:00:00
1040861,Miami,2012-10-03 06:00:00
1040862,Miami,2012-10-03 07:00:00
1040863,Miami,2012-10-03 08:00:00
1040864,Miami,2012-10-03 09:00:00
1040865,Miami,2012-10-03 10:00:00
1040866,Miami,2012-10-03 11:00:00
1040867,Miami,2012-10-03 12:00:00
1040868,Miami,2012-10-03 13:00:00
1040869,Miami,2012-10-03 14:00:00
1040870,Miami,2012-10-03 15:00:00
1040871,Miami,2012-10-03 16:00:00
1040872,Miami,2012-10-03 17:00:00
