,City,datetime
1267084,Montreal,2012-10-01 12:00:00
1267085,Montreal,2012-10-01 13:00:00
1267086,Montreal,2012-10-01 14:00:00
1267087,Montreal,2012-10-01 15:00:00
1267088,Montreal,2012-10-01 16:00:00
1267089,Montreal,2012-10-01 17:00:00
1267090,Montreal,2012-10-01 18:00:00
1267091,Montreal,2012-10-01 19:00:00
1267092,Montreal,2012-10-01 20:00:00
1267093,Montreal,2012-10-01 21:00:00
1267094,Montreal,2012-10-01 22:00:00
1267095,Montreal,2012-10-01 23:00:00
1267096,Montreal,2012-10-02 00:00:00
1267097,Montreal,2012-10-02 01:00:00
1267098,Montreal,2012-10-02 02:00:00
1267099,Montreal,2012-10-02 03:00:00
1267100,Montreal,2012-10-02 04:00:00
1267101,Montreal,2012-10-02 05:00:00
1267102,Montreal,2012-10-02 06:00:00
1267103,Montreal,2012-10-02 07:00:00
1267104,Montreal,2012-10-02 08:00:00
1267105,Montreal,2012-10-02 09:00:00
1267106,Montreal,2012-10-02 10:00:00
1267107,Montreal,2012-10-02 11:00:00
1267108,Montreal,2012-10-02 12:00:00
1267109,Montreal,2012-10-02 13:00:00
1267110,Montreal,2012-10-02 14:00:00
1267111,Montreal,2012-10-02 15:00:00
1267112,Montreal,2012-10-02 16:00:00
1267113,Montreal,2012-10-02 17:00:00
1267114,Montreal,2012-10-02 18:00:00
1267115,Montreal,2012-10-02 19:00:00
1267116,Montreal,2012-10-02 20:00:00
1267117,Montreal,2012-10-02 21:00:00
1267118,Montreal,2012-10-02 22:00:00
1267119,Montreal,2012-10-02 23:00:00
1267120,Montreal,2012-10-03 00:00:00
1267121,Montreal,2012-10-03 01:00:00
1267122,Montreal,2012-10-03 02:00:00
1267123,Montreal,2012-10-03 03:00:00
1267124,Montreal,2012-10-03 04:00:00
1267125,Montreal,2012-10-03 05:00:00
1267126,Montreal,2012-10-03 06:00:00
1267127,Montreal,2012-10-03 07:00:00
1267128,Montreal,2012-10-03 08:00:00
1267129,Montreal,2012-10-03 09:00:00
1267130,Montreal,2012-10-03 10:00:00
1267131,Montreal,2012-10-03 11:00:00
1267132,Montreal,2012-10-03 12:00:00
1267133,Montreal,2012-10-03 13:00:00
1267134,Montreal,2012-10-03 14:00:00
1267135,Montreal,2012-10-03 15:00:00
1267136,Montreal,2012-10-03 16:00:00
1267137,Montreal,2012-10-03 17:00:00
1267138,Montreal,2012-10-03 18:00:00
1267139,Montreal,2012-10-03 19:00:00
1267140,Montreal,2012-10-03 20:00:00
1267141,Montreal,2012-10-03 21:00:00
1267142,Montreal,2012-10-03 22:00:00
1267143,Montreal,2012-10-03 23:00:00
1267144,Montreal,2012-10-04 00:00:00
1267145,Montreal,2012-10-04 01:00:00
1267146,Montreal,2012-10-04 02:00:00
1267147,Montreal,2012-10-04 03:00:00
1267148,Montreal,2012-10-04 04:00:00
1267149,Montreal,2012-10-04 05:00:00
1267150,Montreal,2012-10-04 06:00:00
1267151,Montreal,2012-10-04 07:00:00
1267152,Montreal,2012-10-04 08:00:00
1267153,Montreal,2012-10-04 09:00:00
1267154,Montreal,2012-10-04 10:00:00
1267155,Montreal,2012-10-04 11:00:00
1267156,Montreal,2012-10-04 12:00:00
1267157,Montreal,2012-10-04 13:00:00
1267158,Montreal,2012-10-04 14:00:00
1267159,Montreal,2012-10-04 15:00:00
1267160,Montreal,2012-10-04 16:00:00
1267161,Montreal,2012-10-04 17:00:00
1267162,Montreal,2012-10-04 18:00:00
1267163,Montreal,2012-10-04 19:00:00
1267164,Montreal,2012-10-04 20:00:00
1267165,Montreal,2012-10-04 21:00:00
1267166,Montreal,2012-10-04 22:00:00
1267167,Montreal,2012-10-04 23:00:00
1267168,Montreal,2012-10-05 00:00:00
1267169,Montreal,2012-10-05 01:00:00
1267170,Montreal,2012-10-05 02:00:00
1267171,Montreal,2012-10-05 03:00:00
1267172,Montreal,2012-10-05 04:00:00
1267173,Montreal,2012-10-05 05:00:00
1267174,Montreal,2012-10-05 06:00:00
1267175,Montreal,2012-10-05 07:00:00
1267176,Montreal,2012-10-05 08:00:00
1267177,Montreal,2012-10-05 09:00:00
1267178,Montreal,2012-10-05 10:00:00
1267179,Montreal,2012-10-05 11:00:00
1267180,Montreal,2012-10-05 12:00:00
1267181,Montreal,2012-10-05 13:00:00
1267182,Montreal,2012-10-05 14:00:00
1267183,Montreal,2012-10-05 15:00:00
1267184,Montreal,2012-10-05 16:00:00
1267185,Montreal,2012-10-05 17:00:00
1267186,Montreal,2012-10-05 18:00:00
1267187,Montreal,2012-10-05 19:00:00
1267188,Montreal,2012-10-05 20:00:00
1267189,Montreal,2012-10-05 21:00:00
1267190,Montreal,2012-10-05 22:00:00
1267191,Montreal,2012-10-05 23:00:00
1267192,Montreal,2012-10-06 00:00:00
1267193,Montreal,2012-10-06 01:00:00
1267194,Montreal,2012-10-06 02:00:00
1267195,Montreal,2012-10-06 03:00:00
1267196,Montreal,2012-10-06 04:00:00
1267197,Montreal,2012-10-06 05:00:00
1267198,Montreal,2012-10-06 06:00:00
1267199,Montreal,2012-10-06 07:00:00
1267200,Montreal,2012-10-06 08:00:00
1267201,Montreal,2012-10-06 09:00:00
1267202,Montreal,2012-10-06 10:00:00
1267203,Montreal,2012-10-06 11:00:00
1267204,Montreal,2012-10-06 12:00:00
1267205,Montreal,2012-10-06 13:00:00
1267206,Montreal,2012-10-06 14:00:00
1267207,Montreal,2012-10-06 15:00:00
1267208,Montreal,2012-10-06 16:00:00
1267209,Montreal,2012-10-06 17:00:00
1267210,Montreal,2012-10-06 18:00:00
1267211,Montreal,2012-10-06 19:00:00
1267212,Montreal,2012-10-06 20:00:00
1267213,Montreal,2012-10-06 21:00:00
1267214,Montreal,2012-10-06 22:00:00
1267215,Montreal,2012-10-06 23:00:00
1267216,Montreal,2012-10-07 00:00:00
1267217,Montreal,2012-10-07 01:00:00
1267218,Montreal,2012-10-07 02:00:00
1267219,Montreal,2012-10-07 03:00:00
1267220,Montreal,2012-10-07 04:00:00
1267221,Montreal,2012-10-07 05:00:00
1267222,Montreal,2012-10-07 06:00:00
1267223,Montreal,2012-10-07 07:00:00
1267224,Montreal,2012-10-07 08:00:00
1267225,Montreal,2012-10-07 09:00:00
1267226,Montreal,2012-10-07 10:00:00
1267227,Montreal,2012-10-07 11:00:00
1267228,Montreal,2012-10-07 12:00:00
1267229,Montreal,2012-10-07 13:00:00
1267230,Montreal,2012-10-07 14:00:00
1267231,Montreal,2012-10-07 15:00:00
1267232,Montreal,2012-10-07 16:00:00
1267233,Montreal,2012-10-07 17:00:00
1267234,Montreal,2012-10-07 18:00:00
1267235,Montreal,2012-10-07 19:00:00
1267236,Montreal,2012-10-07 20:00:00
1267237,Montreal,2012-10-07 21:00:00
1267238,Montreal,2012-10-07 22:00:00
1267239,Montreal,2012-10-07 23:00:00
1267240,Montreal,2012-10-08 00:00:00
1267241,Montreal,2012-10-08 01:00:00
1267242,Montreal,2012-10-08 02:00:00
1267243,Montreal,2012-10-08 03:00:00
1267244,Montreal,2012-10-08 04:00:00
1267245,Montreal,2012-10-08 05:00:00
1267246,Montreal,2012-10-08 06:00:00
1267247,Montreal,2012-10-08 07:00:00
1267248,Montreal,2012-10-08 08:00:00
1267249,Montreal,2012-10-08 09:00:00
1267250,Montreal,2012-10-08 10:00:00
1267251,Montreal,2012-10-08 11:00:00
1267252,Montreal,2012-10-08 12:00:00
1267253,Montreal,2012-10-08 13:00:00
1267254,Montreal,2012-10-08 14:00:00
1267255,Montreal,2012-10-08 15:00:00
1267256,Montreal,2012-10-08 16:00:00
1267257,Montreal,2012-10-08 17:00:00
1267258,Montreal,2012-10-08 18:00:00
1267259,Montreal,2012-10-08 19:00:00
1267260,Montreal,2012-10-08 20:00:00
1267261,Montreal,2012-10-08 21:00:00
1267262,Montreal,2012-10-08 22:00:00
1267263,Montreal,2012-10-08 23:00:00
1267264,Montreal,2012-10-09 00:00:00
1267265,Montreal,2012-10-09 01:00:00
1267266,Montreal,2012-10-09 02:00:00
1267267,Montreal,2012-10-09 03:00:00
1267268,Montreal,2012-10-09 04:00:00
1267269,Montreal,2012-10-09 05:00:00
1267270,Montreal,2012-10-09 06:00:00
1267271,Montreal,2012-10-09 07:00:00
1267272,Montreal,2012-10-09 08:00:00
1267273,Montreal,2012-10-09 09:00:00
1267274,Montreal,2012-10-09 10:00:00
1267275,Montreal,2012-10-09 11:00:00
1267276,Montreal,2012-10-09 12:00:00
1267277,Montreal,2012-10-09 13:00:00
1267278,Montreal,2012-10-09 14:00:00
1267279,Montreal,2012-10-09 15:00:00
1267280,Montreal,2012-10-09 16:00:00
1267281,Montreal,2012-10-09 17:00:00
1267282,Montreal,2012-10-09 18:00:00
1267283,Montreal,2012-10-09 19:00:00
1267284,Montreal,2012-10-09 20:00:00
1267285,Montreal,2012-10-09 21:00:00
1267286,Montreal,2012-10-09 22:00:00
1267287,Montreal,2012-10-09 23:00:00
1267288,Montreal,2012-10-10 00:00:00
1267289,Montreal,2012-10-10 01:00:00
1267290,Montreal,2012-10-10 02:00:00
1267291,Montreal,2012-10-10 03:00:00
1267292,Montreal,2012-10-10 04:00:00
1267293,Montreal,2012-10-10 05:00:00
1267294,Montreal,2012-10-10 06:00:00
1267295,Montreal,2012-10-10 07:00:00
1267296,Montreal,2012-10-10 08:00:00
1267297,Montreal,2012-10-10 09:00:00
1267298,Montreal,2012-10-10 10:00:00
1267299,Montreal,2012-10-10 11:00:00
1267300,Montreal,2012-10-10 12:00:00
1267301,Montreal,2012-10-10 13:00:00
1267302,Montreal,2012-10-10 14:00:00
1267303,Montreal,2012-10-10 15:00:00
1267304,Montreal,2012-10-10 16:00:00
1267305,Montreal,2012-10-10 17:00:00
1267306,Montreal,2012-10-10 18:00:00
1267307,Montreal,2012-10-10 19:00:00
1267308,Montreal,2012-10-10 20:00:00
1267309,Montreal,2012-10-10 21:00:00
1267310,Montreal,2012-10-10 22:00:00
1267311,Montreal,2012-10-10 23:00:00
1267312,Montreal,2012-10-11 00:00:00
1267313,Montreal,2012-10-11 01:00:00
1267314,Montreal,2012-10-11 02:00:00
1267315,Montreal,2012-10-11 03:00:00
1267316,Montreal,2012-10-11 04:00:00
1267317,Montreal,2012-10-11 05:00:00
1267318,Montreal,2012-10-11 06:00:00
1267319,Montreal,2012-10-11 07:00:00
1267320,Montreal,2012-10-11 08:00:00
1267321,Montreal,2012-10-11 09:00:00
1267322,Montreal,2012-10-11 10:00:00
1267323,Montreal,2012-10-11 11:00:00
1267324,Montreal,2012-10-11 12:00:00
1267325,Montreal,2012-10-11 13:00:00
1267326,Montreal,2012-10-11 14:00:00
1267327,Montreal,2012-10-11 15:00:00
1267328,Montreal,2012-10-11 16:00:00
1267329,Montreal,2012-10-11 17:00:00
1267330,Montreal,2012-10-11 18:00:00
1267331,Montreal,2012-10-11 19:00:00
1267332,Montreal,2012-10-11 20:00:00
1267333,Montreal,2012-10-11 21:00:00
1267334,Montreal,2012-10-11 22:00:00
1267335,Montreal,2012-10-11 23:00:00
1267336,Montreal,2012-10-12 00:00:00
1267337,Montreal,2012-10-12 01:00:00
1267338,Montreal,2012-10-12 02:00:00
1267339,Montreal,2012-10-12 03:00:00
1267340,Montreal,2012-10-12 04:00:00
1267341,Montreal,2012-10-12 05:00:00
1267342,Montreal,2012-10-12 06:00:00
1267343,Montreal,2012-10-12 07:00:00
1267344,Montreal,2012-10-12 08:00:00
1267345,Montreal,2012-10-12 09:00:00
1267346,Montreal,2012-10-12 10:00:00
1267347,Montreal,2012-10-12 11:00:00
1267348,Montreal,2012-10-12 12:00:00
1267349,Montreal,2012-10-12 13:00:00
1267350,Montreal,2012-10-12 14:00:00
1267351,Montreal,2012-10-12 15:00:00
1267352,Montreal,2012-10-12 16:00:00
1267353,Montreal,2012-10-12 17:00:00
1267354,Montreal,2012-10-12 18:00:00
1267355,Montreal,2012-10-12 19:00:00
1267356,Montreal,2012-10-12 20:00:00
1267357,Montreal,2012-10-12 21:00:00
1267358,Montreal,2012-10-12 22:00:00
1267359,Montreal,2012-10-12 23:00:00
1267360,Montreal,2012-10-13 00:00:00
1267361,Montreal,2012-10-13 01:00:00
1267362,Montreal,2012-10-13 02:00:00
1267363,Montreal,2012-10-13 03:00:00
1267364,Montreal,2012-10-13 04:00:00
1267365,Montreal,2012-10-13 05:00:00
1267366,Montreal,2012-10-13 06:00:00
1267367,Montreal,2012-10-13 07:00:00
1267368,Montreal,2012-10-13 08:00:00
1267369,Montreal,2012-10-13 09:00:00
1267370,Montreal,2012-10-13 10:00:00
1267371,Montreal,2012-10-13 11:00:00
1267372,Montreal,2012-10-13 12:00:00
1267373,Montreal,2012-10-13 13:00:00
1267374,Montreal,2012-10-13 14:00:00
1267375,Montreal,2012-10-13 15:00:00
1267376,Montreal,2012-10-13 16:00:00
1267377,Montreal,2012-10-13 17:00:00
1267378,Montreal,2012-10-13 18:00:00
1267379,Montreal,2012-10-13 19:00:00
1267380,Montreal,2012-10-13 20:00:00
1267381,Montreal,2012-10-13 21:00:00
1267382,Montreal,2012-10-13 22:00:00
1267383,Montreal,2012-10-13 23:00:00
1267384,Montreal,2012-10-14 00:00:00
1267385,Montreal,2012-10-14 01:00:00
1267386,Montreal,2012-10-14 02:00:00
1267387,Montreal,2012-10-14 03:00:00
1267388,Montreal,2012-10-14 04:00:00
1267389,Montreal,2012-10-14 05:00:00
1267390,Montreal,2012-10-14 06:00:00
1267391,Montreal,2012-10-14 07:00:00
1267392,Montreal,2012-10-14 08:00:00
1267393,Montreal,2012-10-14 09:00:00
1267394,Montreal,2012-10-14 10:00:00
1267395,Montreal,2012-10-14 11:00:00
1267396,Montreal,2012-10-14 12:00:00
1267397,Montreal,2012-10-14 13:00:00
1267398,Montreal,2012-10-14 14:00:00
1267399,Montreal,2012-10-14 15:00:00
1267400,Montreal,2012-10-14 16:00:00
1267401,Montreal,2012-10-14 17:00:00
1267402,Montreal,2012-10-14 18:00:00
1267403,Montreal,2012-10-14 19:00:00
1267404,Montreal,2012-10-14 20:00:00
1267405,Montreal,2012-10-14 21:00:00
1267406,Montreal,2012-10-14 22:00:00
1267407,Montreal,2012-10-14 23:00:00
1267408,Montreal,2012-10-15 00:00:00
1267409,Montreal,2012-10-15 01:00:00
1267410,Montreal,2012-10-15 02:00:00
1267411,Montreal,2012-10-15 03:00:00
1267412,Montreal,2012-10-15 04:00:00
1267413,Montreal,2012-10-15 05:00:00
1267414,Montreal,2012-10-15 06:00:00
1267415,Montreal,2012-10-15 07:00:00
1267416,Montreal,2012-10-15 08:00:00
1267417,Montreal,2012-10-15 09:00:00
1267418,Montreal,2012-10-15 10:00:00
1267419,Montreal,2012-10-15 11:00:00
1267420,Montreal,2012-10-15 12:00:00
1267421,Montreal,2012-10-15 13:00:00
1267422,Montreal,2012-10-15 14:00:00
1267423,Montreal,2012-10-15 15:00:00
1267424,Montreal,2012-10-15 16:00:00
1267425,Montreal,2012-10-15 17:00:00
1267426,Montreal,2012-10-15 18:00:00
1267427,Montreal,2012-10-15 19:00:00
1267428,Montreal,2012-10-15 20:00:00
1267429,Montreal,2012-10-15 21:00:00
1267430,Montreal,2012-10-15 22:00:00
1267431,Montreal,2012-10-15 23:00:00
1267432,Montreal,2012-10-16 00:00:00
1267433,Montreal,2012-10-16 01:00:00
1267434,Montreal,2012-10-16 02:00:00
1267435,Montreal,2012-10-16 03:00:00
1267436,Montreal,2012-10-16 04:00:00
1267437,Montreal,2012-10-16 05:00:00
1267438,Montreal,2012-10-16 06:00:00
1267439,Montreal,2012-10-16 07:00:00
1267440,Montreal,2012-10-16 08:00:00
1267441,Montreal,2012-10-16 09:00:00
1267442,Montreal,2012-10-16 10:00:00
1267443,Montreal,2012-10-16 11:00:00
1267444,Montreal,2012-10-16 12:00:00
1267445,Montreal,2012-10-16 13:00:00
1267446,Montreal,2012-10-16 14:00:00
1267447,Montreal,2012-10-16 15:00:00
1267448,Montreal,2012-10-16 16:00:00
1267449,Montreal,2012-10-16 17:00:00
1267450,Montreal,2012-10-16 18:00:00
1267451,Montreal,2012-10-16 19:00:00
1267452,Montreal,2012-10-16 20:00:00
1267453,Montreal,2012-10-16 21:00:00
1267454,Montreal,2012-10-16 22:00:00
1267455,Montreal,2012-10-16 23:00:00
1267456,Montreal,2012-10-17 00:00:00
1267457,Montreal,2012-10-17 01:00:00
1267458,Montreal,2012-10-17 02:00:00
1267459,Montreal,2012-10-17 03:00:00
1267460,Montreal,2012-10-17 04:00:00
1267461,Montreal,2012-10-17 05:00:00
1267462,Montreal,2012-10-17 06:00:00
1267463,Montreal,2012-10-17 07:00:00
1267464,Montreal,2012-10-17 08:00:00
1267465,Montreal,2012-10-17 09:00:00
1267466,Montreal,2012-10-17 10:00:00
1267467,Montreal,2012-10-17 11:00:00
1267468,Montreal,2012-10-17 12:00:00
1267469,Montreal,2012-10-17 13:00:00
1267470,Montreal,2012-10-17 14:00:00
1267471,Montreal,2012-10-17 15:00:00
1267472,Montreal,2012-10-17 16:00:00
1267473,Montreal,2012-10-17 17:00:00
1267474,Montreal,2012-10-17 18:00:00
1267475,Montreal,2012-10-17 19:00:00
1267476,Montreal,2012-10-17 20:00:00
1267477,Montreal,2012-10-17 21:00:00
1267478,Montreal,2012-10-17 22:00:00
1267479,Montreal,2012-10-17 23:00:00
1267480,Montreal,2012-10-18 00:00:00
1267481,Montreal,2012-10-18 01:00:00
1267482,Montreal,2012-10-18 02:00:00
1267483,Montreal,2012-10-18 03:00:00
1267484,Montreal,2012-10-18 04:00:00
1267485,Montreal,2012-10-18 05:00:00
1267486,Montreal,2012-10-18 06:00:00
1267487,Montreal,2012-10-18 07:00:00
1267488,Montreal,2012-10-18 08:00:00
1267489,Montreal,2012-10-18 09:00:00
1267490,Montreal,2012-10-18 10:00:00
1267491,Montreal,2012-10-18 11:00:00
1267492,Montreal,2012-10-18 12:00:00
1267493,Montreal,2012-10-18 13:00:00
1267494,Montreal,2012-10-18 14:00:00
1267495,Montreal,2012-10-18 15:00:00
1267496,Montreal,2012-10-18 16:00:00
1267497,Montreal,2012-10-18 17:00:00
1267498,Montreal,2012-10-18 18:00:00
1267499,Montreal,2012-10-18 19:00:00
1267500,Montreal,2012-10-18 20:00:00
1267501,Montreal,2012-10-18 21:00:00
1267502,Montreal,2012-10-18 22:00:00
1267503,Montreal,2012-10-18 23:00:00
1267504,Montreal,2012-10-19 00:00:00
1267505,Montreal,2012-10-19 01:00:00
1267506,Montreal,2012-10-19 02:00:00
1267507,Montreal,2012-10-19 03:00:00
1267508,Montreal,2012-10-19 04:00:00
1267509,Montreal,2012-10-19 05:00:00
1267510,Montreal,2012-10-19 06:00:00
1267511,Montreal,2012-10-19 07:00:00
1267512,Montreal,2012-10-19 08:00:00
1267513,Montreal,2012-10-19 09:00:00
1267514,Montreal,2012-10-19 10:00:00
1267515,Montreal,2012-10-19 11:00:00
1267516,Montreal,2012-10-19 12:00:00
1267517,Montreal,2012-10-19 13:00:00
1267518,Montreal,2012-10-19 14:00:00
1267519,Montreal,2012-10-19 15:00:00
1267520,Montreal,2012-10-19 16:00:00
1267521,Montreal,2012-10-19 17:00:00
1267522,Montreal,2012-10-19 18:00:00
1267523,Montreal,2012-10-19 19:00:00
1267524,Montreal,2012-10-19 20:00:00
1267525,Montreal,2012-10-19 21:00:00
1267526,Montreal,2012-10-19 22:00:00
1267527,Montreal,2012-10-19 23:00:00
1267528,Montreal,2012-10-20 00:00:00
1267529,Montreal,2012-10-20 01:00:00
1267530,Montreal,2012-10-20 02:00:00
1267531,Montreal,2012-10-20 03:00:00
1267532,Montreal,2012-10-20 04:00:00
1267533,Montreal,2012-10-20 05:00:00
1267534,Montreal,2012-10-20 06:00:00
1267535,Montreal,2012-10-20 07:00:00
1267536,Montreal,2012-10-20 08:00:00
1267537,Montreal,2012-10-20 09:00:00
1267538,Montreal,2012-10-20 10:00:00
1267539,Montreal,2012-10-20 11:00:00
1267540,Montreal,2012-10-20 12:00:00
1267541,Montreal,2012-10-20 13:00:00
1267542,Montreal,2012-10-20 14:00:00
1267543,Montreal,2012-10-20 15:00:00
1267544,Montreal,2012-10-20 16:00:00
1267545,Montreal,2012-10-20 17:00:00
1267546,Montreal,2012-10-20 18:00:00
1267547,Montreal,2012-10-20 19:00:00
1267548,Montreal,2012-10-20 20:00:00
1267549,Montreal,2012-10-20 21:00:00
1267550,Montreal,2012-10-20 22:00:00
1267551,Montreal,2012-10-20 23:00:00
1267552,Montreal,2012-10-21 00:00:00
1267553,Montreal,2012-10-21 01:00:00
1267554,Montreal,2012-10-21 02:00:00
1267555,Montreal,2012-10-21 03:00:00
1267556,Montreal,2012-10-21 04:00:00
1267557,Montreal,2012-10-21 05:00:00
1267558,Montreal,2012-10-21 06:00:00
1267559,Montreal,2012-10-21 07:00:00
1267560,Montreal,2012-10-21 08:00:00
1267561,Montreal,2012-10-21 09:00:00
1267562,Montreal,2012-10-21 10:00:00
1267563,Montreal,2012-10-21 11:00:00
1267564,Montreal,2012-10-21 12:00:00
1267565,Montreal,2012-10-21 13:00:00
1267566,Montreal,2012-10-21 14:00:00
1267567,Montreal,2012-10-21 15:00:00
1267568,Montreal,2012-10-21 16:00:00
1267569,Montreal,2012-10-21 17:00:00
1267570,Montreal,2012-10-21 18:00:00
1267571,Montreal,2012-10-21 19:00:00
1267572,Montreal,2012-10-21 20:00:00
1267573,Montreal,2012-10-21 21:00:00
1267574,Montreal,2012-10-21 22:00:00
1267575,Montreal,2012-10-21 23:00:00
1267576,Montreal,2012-10-22 00:00:00
1267577,Montreal,2012-10-22 01:00:00
1267578,Montreal,2012-10-22 02:00:00
1267579,Montreal,2012-10-22 03:00:00
