,City,datetime
769301,Nashville,2012-10-01 12:00:00
769302,Nashville,2012-10-01 13:00:00
769303,Nashville,2012-10-01 14:00:00
769304,Nashville,2012-10-01 15:00:00
769305,Nashville,2012-10-01 16:00:00
769306,Nashville,2012-10-01 17:00:00
769307,Nashville,2012-10-01 18:00:00
769308,Nashville,2012-10-01 19:00:00
769309,Nashville,2012-10-01 20:00:00
769310,Nashville,2012-10-01 21:00:00
769311,Nashville,2012-10-01 22:00:00
769312,Nashville,2012-10-01 23:00:00
769313,Nashville,2012-10-02 00:00:00
769314,Nashville,2012-10-02 01:00:00
769315,Nashville,2012-10-02 02:00:00
769316,Nashville,2012-10-02 03:00:00
769317,Nashville,2012-10-02 04:00:00
769318,Nashville,2012-10-02 05:00:00
769319,Nashville,2012-10-02 06:00:00
769320,Nashville,2012-10-02 07:00:00
769321,Nashville,2012-10-02 08:00:00
769322,Nashville,2012-10-02 09:00:00
769323,Nashville,2012-10-02 10:00:00
769324,Nashville,2012-10-02 11:00:00
769325,Nashville,2012-10-02 12:00:00
769326,Nashville,2012-10-02 13:00:00
769327,Nashville,2012-10-02 14:00:00
769328,Nashville,2012-10-02 15:00:00
769329,Nashville,2012-10-02 16:00:00
769330,Nashville,2012-10-02 17:00:00
769331,Nashville,2012-10-02 18:00:00
769332,Nashville,2012-10-02 19:00:00
769333,Nashville,2012-10-02 20:00:00
769334,Nashville,2012-10-02 21:00:00
769335,Nashville,2012-10-02 22:00:00
769336,Nashville,2012-10-02 23:00:00
769337,Nashville,2012-10-03 00:00:00
769338,Nashville,2012-10-03 01:00:00
769339,Nashville,2012-10-03 02:00:00
769340,Nashville,2012-10-03 03:00:00
769341,Nashville,2012-10-03 04:00:00
769342,Nashville,2012-10-03 05:00:00
769343,Nashville,2012-10-03 06:00:00
769344,Nashville,2012-10-03 07:00:00
769345,Nashville,2012-10-03 08:00:00
769346,Nashville,2012-10-03 09:00:00
769347,Nashville,2012-10-03 10:00:00
769348,Nashville,2012-10-03 11:00:00
769349,Nashville,2012-10-03 12:00:00
769350,Nashville,2012-10-03 13:00:00
769351,Nashville,2012-10-03 14:00:00
769352,Nashville,2012-10-03 15:00:00
769353,Nashville,2012-10-03 16:00:00
769354,Nashville,2012-10-03 17:00:00
769355,Nashville,2012-10-03 18:00:00
769356,Nashville,2012-10-03 19:00:00
769357,Nashville,2012-10-03 20:00:00
769358,Nashville,2012-10-03 21:00:00
769359,Nashville,2012-10-03 22:00:00
769360,Nashville,2012-10-03 23:00:00
769361,Nashville,2012-10-04 00:00:00
769362,Nashville,2012-10-04 01:00:00
769363,Nashville,2012-10-04 02:00:00
769364,Nashville,2012-10-04 03:00:00
769365,Nashville,2012-10-04 04:00:00
769366,Nashville,2012-10-04 05:00:00
769367,Nashville,2012-10-04 06:00:00
769368,Nashville,2012-10-04 07:00:00
769369,Nashville,2012-10-04 08:00:00
769370,Nashville,2012-10-04 09:00:00
769371,Nashville,2012-10-04 10:00:00
769372,Nashville,2012-10-04 11:00:00
769373,Nashville,2012-10-04 12:00:00
769374,Nashville,2012-10-04 13:00:00
769375,Nashville,2012-10-04 14:00:00
769376,Nashville,2012-10-04 15:00:00
769377,Nashville,2012-10-04 16:00:00
769378,Nashville,2012-10-04 17:00:00
769379,Nashville,2012-10-04 18:00:00
769380,Nashville,2012-10-04 19:00:00
769381,Nashville,2012-10-04 20:00:00
769382,Nashville,2012-10-04 21:00:00
769383,Nashville,2012-10-04 22:00:00
769384,Nashville,2012-10-04 23:00:00
769385,Nashville,2012-10-05 00:00:00
769386,Nashville,2012-10-05 01:00:00
769387,Nashville,2012-10-05 02:00:00
769388,Nashville,2012-10-05 03:00:00
769389,Nashville,2012-10-05 04:00:00
769390,Nashville,2012-10-05 05:00:00
769391,Nashville,2012-10-05 06:00:00
769392,Nashville,2012-10-05 07:00:00
769393,Nashville,2012-10-05 08:00:00
769394,Nashville,2012-10-05 09:00:00
769395,Nashville,2012-10-05 10:00:00
769396,Nashville,2012-10-05 11:00:00
769397,Nashville,2012-10-05 12:00:00
769398,Nashville,2012-10-05 13:00:00
769399,Nashville,2012-10-05 14:00:00
769400,Nashville,2012-10-05 15:00:00
769401,Nashville,2012-10-05 16:00:00
769402,Nashville,2012-10-05 17:00:00
769403,Nashville,2012-10-05 18:00:00
769404,Nashville,2012-10-05 19:00:00
769405,Nashville,2012-10-05 20:00:00
769406,Nashville,2012-10-05 21:00:00
769407,Nashville,2012-10-05 22:00:00
769408,Nashville,2012-10-05 23:00:00
769409,Nashville,2012-10-06 00:00:00
769410,Nashville,2012-10-06 01:00:00
769411,Nashville,2012-10-06 02:00:00
769412,Nashville,2012-10-06 03:00:00
769413,Nashville,2012-10-06 04:00:00
769414,Nashville,2012-10-06 05:00:00
769415,Nashville,2012-10-06 06:00:00
769416,Nashville,2012-10-06 07:00:00
769417,Nashville,2012-10-06 08:00:00
769418,Nashville,2012-10-06 09:00:00
769419,Nashville,2012-10-06 10:00:00
769420,Nashville,2012-10-06 11:00:00
769421,Nashville,2012-10-06 12:00:00
769422,Nashville,2012-10-06 13:00:00
769423,Nashville,2012-10-06 14:00:00
769424,Nashville,2012-10-06 15:00:00
769425,Nashville,2012-10-06 16:00:00
769426,Nashville,2012-10-06 17:00:00
769427,Nashville,2012-10-06 18:00:00
769428,Nashville,2012-10-06 19:00:00
769429,Nashville,2012-10-06 20:00:00
769430,Nashville,2012-10-06 21:00:00
769431,Nashville,2012-10-06 22:00:00
769432,Nashville,2012-10-06 23:00:00
769433,Nashville,2012-10-07 00:00:00
769434,Nashville,2012-10-07 01:00:00
769435,Nashville,2012-10-07 02:00:00
769436,Nashville,2012-10-07 03:00:00
769437,Nashville,2012-10-07 04:00:00
769438,Nashville,2012-10-07 05:00:00
769439,Nashville,2012-10-07 06:00:00
769440,Nashville,2012-10-07 07:00:00
769441,Nashville,2012-10-07 08:00:00
769442,Nashville,2012-10-07 09:00:00
769443,Nashville,2012-10-07 10:00:00
769444,Nashville,2012-10-07 11:00:00
769445,Nashville,2012-10-07 12:00:00
769446,Nashville,2012-10-07 13:00:00
769447,Nashville,2012-10-07 14:00:00
769448,Nashville,2012-10-07 15:00:00
769449,Nashville,2012-10-07 16:00:00
769450,Nashville,2012-10-07 17:00:00
769451,Nashville,2012-10-07 18:00:00
769452,Nashville,2012-10-07 19:00:00
769453,Nashville,2012-10-07 20:00:00
769454,Nashville,2012-10-07 21:00:00
769455,Nashville,2012-10-07 22:00:00
769456,Nashville,2012-10-07 23:00:00
769457,Nashville,2012-10-08 00:00:00
769458,Nashville,2012-10-08 01:00:00
769459,Nashville,2012-10-08 02:00:00
769460,Nashville,2012-10-08 03:00:00
769461,Nashville,2012-10-08 04:00:00
769462,Nashville,2012-10-08 05:00:00
769463,Nashville,2012-10-08 06:00:00
769464,Nashville,2012-10-08 07:00:00
769465,Nashville,2012-10-08 08:00:00
769466,Nashville,2012-10-08 09:00:00
769467,Nashville,2012-10-08 10:00:00
769468,Nashville,2012-10-08 11:00:00
769469,Nashville,2012-10-08 12:00:00
769470,Nashville,2012-10-08 13:00:00
769471,Nashville,2012-10-08 14:00:00
769472,Nashville,2012-10-08 15:00:00
769473,Nashville,2012-10-08 16:00:00
769474,Nashville,2012-10-08 17:00:00
769475,Nashville,2012-10-08 18:00:00
769476,Nashville,2012-10-08 19:00:00
769477,Nashville,2012-10-08 20:00:00
769478,Nashville,2012-10-08 21:00:00
769479,Nashville,2012-10-08 22:00:00
769480,Nashville,2012-10-08 23:00:00
769481,Nashville,2012-10-09 00:00:00
769482,Nashville,2012-10-09 01:00:00
769483,Nashville,2012-10-09 02:00:00
769484,Nashville,2012-10-09 03:00:00
769485,Nashville,2012-10-09 04:00:00
769486,Nashville,2012-10-09 05:00:00
769487,Nashville,2012-10-09 06:00:00
769488,Nashville,2012-10-09 07:00:00
769489,Nashville,2012-10-09 08:00:00
769490,Nashville,2012-10-09 09:00:00
769491,Nashville,2012-10-09 10:00:00
769492,Nashville,2012-10-09 11:00:00
769493,Nashville,2012-10-09 12:00:00
769494,Nashville,2012-10-09 13:00:00
769495,Nashville,2012-10-09 14:00:00
769496,Nashville,2012-10-09 15:00:00
769497,Nashville,2012-10-09 16:00:00
769498,Nashville,2012-10-09 17:00:00
769499,Nashville,2012-10-09 18:00:00
769500,Nashville,2012-10-09 19:00:00
769501,Nashville,2012-10-09 20:00:00
769502,Nashville,2012-10-09 21:00:00
769503,Nashville,2012-10-09 22:00:00
769504,Nashville,2012-10-09 23:00:00
769505,Nashville,2012-10-10 00:00:00
769506,Nashville,2012-10-10 01:00:00
769507,Nashville,2012-10-10 02:00:00
769508,Nashville,2012-10-10 03:00:00
769509,Nashville,2012-10-10 04:00:00
769510,Nashville,2012-10-10 05:00:00
769511,Nashville,2012-10-10 06:00:00
769512,Nashville,2012-10-10 07:00:00
769513,Nashville,2012-10-10 08:00:00
769514,Nashville,2012-10-10 09:00:00
769515,Nashville,2012-10-10 10:00:00
769516,Nashville,2012-10-10 11:00:00
769517,Nashville,2012-10-10 12:00:00
769518,Nashville,2012-10-10 13:00:00
769519,Nashville,2012-10-10 14:00:00
769520,Nashville,2012-10-10 15:00:00
769521,Nashville,2012-10-10 16:00:00
769522,Nashville,2012-10-10 17:00:00
769523,Nashville,2012-10-10 18:00:00
769524,Nashville,2012-10-10 19:00:00
769525,Nashville,2012-10-10 20:00:00
769526,Nashville,2012-10-10 21:00:00
769527,Nashville,2012-10-10 22:00:00
769528,Nashville,2012-10-10 23:00:00
769529,Nashville,2012-10-11 00:00:00
769530,Nashville,2012-10-11 01:00:00
769531,Nashville,2012-10-11 02:00:00
769532,Nashville,2012-10-11 03:00:00
769533,Nashville,2012-10-11 04:00:00
769534,Nashville,2012-10-11 05:00:00
769535,Nashville,2012-10-11 06:00:00
769536,Nashville,2012-10-11 07:00:00
769537,Nashville,2012-10-11 08:00:00
769538,Nashville,2012-10-11 09:00:00
769539,Nashville,2012-10-11 10:00:00
769540,Nashville,2012-10-11 11:00:00
769541,Nashville,2012-10-11 12:00:00
769542,Nashville,2012-10-11 13:00:00
769543,Nashville,2012-10-11 14:00:00
769544,Nashville,2012-10-11 15:00:00
769545,Nashville,2012-10-11 16:00:00
769546,Nashville,2012-10-11 17:00:00
769547,Nashville,2012-10-11 18:00:00
769548,Nashville,2012-10-11 19:00:00
769549,Nashville,2012-10-11 20:00:00
769550,Nashville,2012-10-11 21:00:00
769551,Nashville,2012-10-11 22:00:00
769552,Nashville,2012-10-11 23:00:00
769553,Nashville,2012-10-12 00:00:00
769554,Nashville,2012-10-12 01:00:00
769555,Nashville,2012-10-12 02:00:00
769556,Nashville,2012-10-12 03:00:00
769557,Nashville,2012-10-12 04:00:00
