,City,datetime
1221831,New York,2012-10-01 12:00:00
1221832,New York,2012-10-01 13:00:00
1221833,New York,2012-10-01 14:00:00
1221834,New York,2012-10-01 15:00:00
1221835,New York,2012-10-01 16:00:00
1221836,New York,2012-10-01 17:00:00
1221837,New York,2012-10-01 18:00:00
1221838,New York,2012-10-01 19:00:00
1221839,New York,2012-10-01 20:00:00
1221840,New York,2012-10-01 21:00:00
1221841,New York,2012-10-01 22:00:00
1221842,New York,2012-10-01 23:00:00
1221843,New York,2012-10-02 00:00:00
1221844,New York,2012-10-02 01:00:00
1221845,New York,2012-10-02 02:00:00
1221846,New York,2012-10-02 03:00:00
1221847,New York,2012-10-02 04:00:00
1221848,New York,2012-10-02 05:00:00
1221849,New York,2012-10-02 06:00:00
1221850,New York,2012-10-02 07:00:00
1221851,New York,2012-10-02 08:00:00
1221852,New York,2012-10-02 09:00:00
1221853,New York,2012-10-02 10:00:00
1221854,New York,2012-10-02 11:00:00
1221855,New York,2012-10-02 12:00:00
1221856,New York,2012-10-02 13:00:00
1221857,New York,2012-10-02 14:00:00
1221858,New York,2012-10-02 15:00:00
1221859,New York,2012-10-02 16:00:00
1221860,New York,2012-10-02 17:00:00
1221861,New York,2012-10-02 18:00:00
1221862,New York,2012-10-02 19:00:00
1221863,New York,2012-10-02 20:00:00
1221864,New York,2012-10-02 21:00:00
1221865,New York,2012-10-02 22:00:00
1221866,New York,2012-10-02 23:00:00
1221867,New York,2012-10-03 00:00:00
1221868,New York,2012-10-03 01:00:00
1221869,New York,2012-10-03 02:00:00
1221870,New York,2012-10-03 03:00:00
1221871,New York,2012-10-03 04:00:00
1221872,New York,2012-10-03 05:00:00
1221873,New York,2012-10-03 06:00:00
1221874,New York,2012-10-03 07:00:00
1221875,New York,2012-10-03 08:00:00
1221876,New York,2012-10-03 09:00:00
1221877,New York,2012-10-03 10:00:00
1221878,New York,2012-10-03 11:00:00
1221879,New York,2012-10-03 12:00:00
1221880,New York,2012-10-03 13:00:00
1221881,New York,2012-10-03 14:00:00
1221882,New York,2012-10-03 15:00:00
1221883,New York,2012-10-03 16:00:00
1221884,New York,2012-10-03 17:00:00
1221885,New York,2012-10-03 18:00:00
1221886,New York,2012-10-03 19:00:00
1221887,New York,2012-10-03 20:00:00
1221888,New York,2012-10-03 21:00:00
1221889,New York,2012-10-03 22:00:00
1221890,New York,2012-10-03 23:00:00
