,City,datetime
1176578,Philadelphia,2012-10-01 12:00:00
1176579,Philadelphia,2012-10-01 13:00:00
1176580,Philadelphia,2012-10-01 14:00:00
1176581,Philadelphia,2012-10-01 15:00:00
1176582,Philadelphia,2012-10-01 16:00:00
1176583,Philadelphia,2012-10-01 17:00:00
1176584,Philadelphia,2012-10-01 18:00:00
1176585,Philadelphia,2012-10-01 19:00:00
1176586,Philadelphia,2012-10-01 20:00:00
1176587,Philadelphia,2012-10-01 21:00:00
1176588,Philadelphia,2012-10-01 22:00:00
1176589,Philadelphia,2012-10-01 23:00:00
1176590,Philadelphia,2012-10-02 00:00:00
1176591,Philadelphia,2012-10-02 01:00:00
1176592,Philadelphia,2012-10-02 02:00:00
1176593,Philadelphia,2012-10-02 03:00:00
1176594,Philadelphia,2012-10-02 04:00:00
1176595,Philadelphia,2012-10-02 05:00:00
1176596,Philadelphia,2012-10-02 06:00:00
1176597,Philadelphia,2012-10-02 07:00:00
1176598,Philadelphia,2012-10-02 08:00:00
1176599,Philadelphia,2012-10-02 09:00:00
1176600,Philadelphia,2012-10-02 10:00:00
1176601,Philadelphia,2012-10-02 11:00:00
1176602,Philadelphia,2012-10-02 12:00:00
1176603,Philadelphia,2012-10-02 13:00:00
1176604,Philadelphia,2012-10-02 14:00:00
1176605,Philadelphia,2012-10-02 15:00:00
1176606,Philadelphia,2012-10-02 16:00:00
1176607,Philadelphia,2012-10-02 17:00:00
1176608,Philadelphia,2012-10-02 18:00:00
1176609,Philadelphia,2012-10-02 19:00:00
1176610,Philadelphia,2012-10-02 20:00:00
1176611,Philadelphia,2012-10-02 21:00:00
1176612,Philadelphia,2012-10-02 22:00:00
1176613,Philadelphia,2012-10-02 23:00:00
1176614,Philadelphia,2012-10-03 00:00:00
1176615,Philadelphia,2012-10-03 01:00:00
1176616,Philadelphia,2012-10-03 02:00:00
1176617,Philadelphia,2012-10-03 03:00:00
1176618,Philadelphia,2012-10-03 04:00:00
1176619,Philadelphia,2012-10-03 05:00:00
1176620,Philadelphia,2012-10-03 06:00:00
1176621,Philadelphia,2012-10-03 07:00:00
1176622,Philadelphia,2012-10-03 08:00:00
1176623,Philadelphia,2012-10-03 09:00:00
1176624,Philadelphia,2012-10-03 10:00:00
1176625,Philadelphia,2012-10-03 11:00:00
1176626,Philadelphia,2012-10-03 12:00:00
1176627,Philadelphia,2012-10-03 13:00:00
1176628,Philadelphia,2012-10-03 14:00:00
1176629,Philadelphia,2012-10-03 15:00:00
1176630,Philadelphia,2012-10-03 16:00:00
1176631,Philadelphia,2012-10-03 17:00:00
1176632,Philadelphia,2012-10-03 18:00:00
1176633,Philadelphia,2012-10-03 19:00:00
1176634,Philadelphia,2012-10-03 20:00:00
1176635,Philadelphia,2012-10-03 21:00:00
1176636,Philadelphia,2012-10-03 22:00:00
1176637,Philadelphia,2012-10-03 23:00:00
1176638,Philadelphia,2012-10-04 00:00:00
1176639,Philadelphia,2012-10-04 01:00:00
1176640,Philadelphia,2012-10-04 02:00:00
1176641,Philadelphia,2012-10-04 03:00:00
