,City,datetime
316771,Phoenix,2012-10-01 12:00:00
316772,Phoenix,2012-10-01 13:00:00
316773,Phoenix,2012-10-01 14:00:00
316774,Phoenix,2012-10-01 15:00:00
316775,Phoenix,2012-10-01 16:00:00
316776,Phoenix,2012-10-01 17:00:00
316777,Phoenix,2012-10-01 18:00:00
316778,Phoenix,2012-10-01 19:00:00
316779,Phoenix,2012-10-01 20:00:00
316780,Phoenix,2012-10-01 21:00:00
316781,Phoenix,2012-10-01 22:00:00
316782,Phoenix,2012-10-01 23:00:00
316783,Phoenix,2012-10-02 00:00:00
316784,Phoenix,2012-10-02 01:00:00
316785,Phoenix,2012-10-02 02:00:00
316786,Phoenix,2012-10-02 03:00:00
316787,Phoenix,2012-10-02 04:00:00
316788,Phoenix,2012-10-02 05:00:00
316789,Phoenix,2012-10-02 06:00:00
316790,Phoenix,2012-10-02 07:00:00
316791,Phoenix,2012-10-02 08:00:00
316792,Phoenix,2012-10-02 09:00:00
316793,Phoenix,2012-10-02 10:00:00
316794,Phoenix,2012-10-02 11:00:00
316795,Phoenix,2012-10-02 12:00:00
316796,Phoenix,2012-10-02 13:00:00
316797,Phoenix,2012-10-02 14:00:00
316798,Phoenix,2012-10-02 15:00:00
316799,Phoenix,2012-10-02 16:00:00
316800,Phoenix,2012-10-02 17:00:00
316801,Phoenix,2012-10-02 18:00:00
316802,Phoenix,2012-10-02 19:00:00
316803,Phoenix,2012-10-02 20:00:00
316804,Phoenix,2012-10-02 21:00:00
316805,Phoenix,2012-10-02 22:00:00
316806,Phoenix,2012-10-02 23:00:00
316807,Phoenix,2012-10-03 00:00:00
316808,Phoenix,2012-10-03 01:00:00
316809,Phoenix,2012-10-03 02:00:00
316810,Phoenix,2012-10-03 03:00:00
316811,Phoenix,2012-10-03 04:00:00
316812,Phoenix,2012-10-03 05:00:00
316813,Phoenix,2012-10-03 06:00:00
316814,Phoenix,2012-10-03 07:00:00
316815,Phoenix,2012-10-03 08:00:00
316816,Phoenix,2012-10-03 09:00:00
316817,Phoenix,2012-10-03 10:00:00
316818,Phoenix,2012-10-03 11:00:00
316819,Phoenix,2012-10-03 12:00:00
316820,Phoenix,2012-10-03 13:00:00
316821,Phoenix,2012-10-03 14:00:00
316822,Phoenix,2012-10-03 15:00:00
316823,Phoenix,2012-10-03 16:00:00
316824,Phoenix,2012-10-03 17:00:00
316825,Phoenix,2012-10-03 18:00:00
316826,Phoenix,2012-10-03 19:00:00
316827,Phoenix,2012-10-03 20:00:00
316828,Phoenix,2012-10-03 21:00:00
316829,Phoenix,2012-10-03 22:00:00
316830,Phoenix,2012-10-03 23:00:00
316831,Phoenix,2012-10-04 00:00:00
316832,Phoenix,2012-10-04 01:00:00
316833,Phoenix,2012-10-04 02:00:00
316834,Phoenix,2012-10-04 03:00:00
316835,Phoenix,2012-10-04 04:00:00
