,City,datetime
1086072,Pittsburgh,2012-10-01 12:00:00
1086073,Pittsburgh,2012-10-01 13:00:00
1086074,Pittsburgh,2012-10-01 14:00:00
1086075,Pittsburgh,2012-10-01 15:00:00
1086076,Pittsburgh,2012-10-01 16:00:00
1086077,Pittsburgh,2012-10-01 17:00:00
1086078,Pittsburgh,2012-10-01 18:00:00
1086079,Pittsburgh,2012-10-01 19:00:00
1086080,Pittsburgh,2012-10-01 20:00:00
1086081,Pittsburgh,2012-10-01 21:00:00
1086082,Pittsburgh,2012-10-01 22:00:00
1086083,Pittsburgh,2012-10-01 23:00:00
1086084,Pittsburgh,2012-10-02 00:00:00
1086085,Pittsburgh,2012-10-02 01:00:00
1086086,Pittsburgh,2012-10-02 02:00:00
1086087,Pittsburgh,2012-10-02 03:00:00
1086088,Pittsburgh,2012-10-02 04:00:00
1086089,Pittsburgh,2012-10-02 05:00:00
1086090,Pittsburgh,2012-10-02 06:00:00
1086091,Pittsburgh,2012-10-02 07:00:00
1086092,Pittsburgh,2012-10-02 08:00:00
1086093,Pittsburgh,2012-10-02 09:00:00
1086094,Pittsburgh,2012-10-02 10:00:00
1086095,Pittsburgh,2012-10-02 11:00:00
1086096,Pittsburgh,2012-10-02 12:00:00
1086097,Pittsburgh,2012-10-02 13:00:00
1086098,Pittsburgh,2012-10-02 14:00:00
1086099,Pittsburgh,2012-10-02 15:00:00
1086100,Pittsburgh,2012-10-02 16:00:00
1086101,Pittsburgh,2012-10-02 17:00:00
1086102,Pittsburgh,2012-10-02 18:00:00
1086103,Pittsburgh,2012-10-02 19:00:00
1086104,Pittsburgh,2012-10-02 20:00:00
1086105,Pittsburgh,2012-10-02 21:00:00
1086106,Pittsburgh,2012-10-02 22:00:00
1086107,Pittsburgh,2012-10-02 23:00:00
1086108,Pittsburgh,2012-10-03 00:00:00
1086109,Pittsburgh,2012-10-03 01:00:00
1086110,Pittsburgh,2012-10-03 02:00:00
1086111,Pittsburgh,2012-10-03 03:00:00
1086112,Pittsburgh,2012-10-03 04:00:00
1086113,Pittsburgh,2012-10-03 05:00:00
1086114,Pittsburgh,2012-10-03 06:00:00
1086115,Pittsburgh,2012-10-03 07:00:00
1086116,Pittsburgh,2012-10-03 08:00:00
1086117,Pittsburgh,2012-10-03 09:00:00
1086118,Pittsburgh,2012-10-03 10:00:00
1086119,Pittsburgh,2012-10-03 11:00:00
1086120,Pittsburgh,2012-10-03 12:00:00
1086121,Pittsburgh,2012-10-03 13:00:00
1086122,Pittsburgh,2012-10-03 14:00:00
1086123,Pittsburgh,2012-10-03 15:00:00
1086124,Pittsburgh,2012-10-03 16:00:00
1086125,Pittsburgh,2012-10-03 17:00:00
1086126,Pittsburgh,2012-10-03 18:00:00
1086127,Pittsburgh,2012-10-03 19:00:00
1086128,Pittsburgh,2012-10-03 20:00:00
1086129,Pittsburgh,2012-10-03 21:00:00
1086130,Pittsburgh,2012-10-03 22:00:00
1086131,Pittsburgh,2012-10-03 23:00:00
1086132,Pittsburgh,2012-10-04 00:00:00
1086133,Pittsburgh,2012-10-04 01:00:00
1086134,Pittsburgh,2012-10-04 02:00:00
1086135,Pittsburgh,2012-10-04 03:00:00
1086136,Pittsburgh,2012-10-04 04:00:00
1086137,Pittsburgh,2012-10-04 05:00:00
1086138,Pittsburgh,2012-10-04 06:00:00
1086139,Pittsburgh,2012-10-04 07:00:00
1086140,Pittsburgh,2012-10-04 08:00:00
1086141,Pittsburgh,2012-10-04 09:00:00
1086142,Pittsburgh,2012-10-04 10:00:00
1086143,Pittsburgh,2012-10-04 11:00:00
1086144,Pittsburgh,2012-10-04 12:00:00
1086145,Pittsburgh,2012-10-04 13:00:00
1086146,Pittsburgh,2012-10-04 14:00:00
1086147,Pittsburgh,2012-10-04 15:00:00
1086148,Pittsburgh,2012-10-04 16:00:00
1086149,Pittsburgh,2012-10-04 17:00:00
1086150,Pittsburgh,2012-10-04 18:00:00
1086151,Pittsburgh,2012-10-04 19:00:00
1086152,Pittsburgh,2012-10-04 20:00:00
1086153,Pittsburgh,2012-10-04 21:00:00
1086154,Pittsburgh,2012-10-04 22:00:00
1086155,Pittsburgh,2012-10-04 23:00:00
1086156,Pittsburgh,2012-10-05 00:00:00
1086157,Pittsburgh,2012-10-05 01:00:00
1086158,Pittsburgh,2012-10-05 02:00:00
1086159,Pittsburgh,2012-10-05 03:00:00
1086160,Pittsburgh,2012-10-05 04:00:00
1086161,Pittsburgh,2012-10-05 05:00:00
1086162,Pittsburgh,2012-10-05 06:00:00
1086163,Pittsburgh,2012-10-05 07:00:00
1086164,Pittsburgh,2012-10-05 08:00:00
1086165,Pittsburgh,2012-10-05 09:00:00
1086166,Pittsburgh,2012-10-05 10:00:00
1086167,Pittsburgh,2012-10-05 11:00:00
1086168,Pittsburgh,2012-10-05 12:00:00
1086169,Pittsburgh,2012-10-05 13:00:00
1086170,Pittsburgh,2012-10-05 14:00:00
1086171,Pittsburgh,2012-10-05 15:00:00
1086172,Pittsburgh,2012-10-05 16:00:00
1086173,Pittsburgh,2012-10-05 17:00:00
1086174,Pittsburgh,2012-10-05 18:00:00
1086175,Pittsburgh,2012-10-05 19:00:00
1086176,Pittsburgh,2012-10-05 20:00:00
1086177,Pittsburgh,2012-10-05 21:00:00
1086178,Pittsburgh,2012-10-05 22:00:00
1086179,Pittsburgh,2012-10-05 23:00:00
1086180,Pittsburgh,2012-10-06 00:00:00
1086181,Pittsburgh,2012-10-06 01:00:00
1086182,Pittsburgh,2012-10-06 02:00:00
1086183,Pittsburgh,2012-10-06 03:00:00
1086184,Pittsburgh,2012-10-06 04:00:00
1086185,Pittsburgh,2012-10-06 05:00:00
1086186,Pittsburgh,2012-10-06 06:00:00
1086187,Pittsburgh,2012-10-06 07:00:00
1086188,Pittsburgh,2012-10-06 08:00:00
1086189,Pittsburgh,2012-10-06 09:00:00
1086190,Pittsburgh,2012-10-06 10:00:00
1086191,Pittsburgh,2012-10-06 11:00:00
1086192,Pittsburgh,2012-10-06 12:00:00
1086193,Pittsburgh,2012-10-06 13:00:00
1086194,Pittsburgh,2012-10-06 14:00:00
1086195,Pittsburgh,2012-10-06 15:00:00
1086196,Pittsburgh,2012-10-06 16:00:00
1086197,Pittsburgh,2012-10-06 17:00:00
1086198,Pittsburgh,2012-10-06 18:00:00
1086199,Pittsburgh,2012-10-06 19:00:00
1086200,Pittsburgh,2012-10-06 20:00:00
1086201,Pittsburgh,2012-10-06 21:00:00
1086202,Pittsburgh,2012-10-06 22:00:00
1086203,Pittsburgh,2012-10-06 23:00:00
1086204,Pittsburgh,2012-10-07 00:00:00
1086205,Pittsburgh,2012-10-07 01:00:00
1086206,Pittsburgh,2012-10-07 02:00:00
1086207,Pittsburgh,2012-10-07 03:00:00
1086208,Pittsburgh,2012-10-07 04:00:00
1086209,Pittsburgh,2012-10-07 05:00:00
1086210,Pittsburgh,2012-10-07 06:00:00
1086211,Pittsburgh,2012-10-07 07:00:00
1086212,Pittsburgh,2012-10-07 08:00:00
1086213,Pittsburgh,2012-10-07 09:00:00
1086214,Pittsburgh,2012-10-07 10:00:00
1086215,Pittsburgh,2012-10-07 11:00:00
1086216,Pittsburgh,2012-10-07 12:00:00
1086217,Pittsburgh,2012-10-07 13:00:00
1086218,Pittsburgh,2012-10-07 14:00:00
1086219,Pittsburgh,2012-10-07 15:00:00
1086220,Pittsburgh,2012-10-07 16:00:00
1086221,Pittsburgh,2012-10-07 17:00:00
1086222,Pittsburgh,2012-10-07 18:00:00
1086223,Pittsburgh,2012-10-07 19:00:00
1086224,Pittsburgh,2012-10-07 20:00:00
1086225,Pittsburgh,2012-10-07 21:00:00
1086226,Pittsburgh,2012-10-07 22:00:00
1086227,Pittsburgh,2012-10-07 23:00:00
1086228,Pittsburgh,2012-10-08 00:00:00
1086229,Pittsburgh,2012-10-08 01:00:00
1086230,Pittsburgh,2012-10-08 02:00:00
1086231,Pittsburgh,2012-10-08 03:00:00
1086232,Pittsburgh,2012-10-08 04:00:00
1086233,Pittsburgh,2012-10-08 05:00:00
1086234,Pittsburgh,2012-10-08 06:00:00
1086235,Pittsburgh,2012-10-08 07:00:00
1086236,Pittsburgh,2012-10-08 08:00:00
1086237,Pittsburgh,2012-10-08 09:00:00
1086238,Pittsburgh,2012-10-08 10:00:00
1086239,Pittsburgh,2012-10-08 11:00:00
1086240,Pittsburgh,2012-10-08 12:00:00
1086241,Pittsburgh,2012-10-08 13:00:00
1086242,Pittsburgh,2012-10-08 14:00:00
1086243,Pittsburgh,2012-10-08 15:00:00
1086244,Pittsburgh,2012-10-08 16:00:00
1086245,Pittsburgh,2012-10-08 17:00:00
1086246,Pittsburgh,2012-10-08 18:00:00
1086247,Pittsburgh,2012-10-08 19:00:00
1086248,Pittsburgh,2012-10-08 20:00:00
1086249,Pittsburgh,2012-10-08 21:00:00
1086250,Pittsburgh,2012-10-08 22:00:00
1086251,Pittsburgh,2012-10-08 23:00:00
1086252,Pittsburgh,2012-10-09 00:00:00
1086253,Pittsburgh,2012-10-09 01:00:00
1086254,Pittsburgh,2012-10-09 02:00:00
1086255,Pittsburgh,2012-10-09 03:00:00
1086256,Pittsburgh,2012-10-09 04:00:00
1086257,Pittsburgh,2012-10-09 05:00:00
1086258,Pittsburgh,2012-10-09 06:00:00
1086259,Pittsburgh,2012-10-09 07:00:00
1086260,Pittsburgh,2012-10-09 08:00:00
1086261,Pittsburgh,2012-10-09 09:00:00
1086262,Pittsburgh,2012-10-09 10:00:00
1086263,Pittsburgh,2012-10-09 11:00:00
1086264,Pittsburgh,2012-10-09 12:00:00
1086265,Pittsburgh,2012-10-09 13:00:00
1086266,Pittsburgh,2012-10-09 14:00:00
1086267,Pittsburgh,2012-10-09 15:00:00
1086268,Pittsburgh,2012-10-09 16:00:00
1086269,Pittsburgh,2012-10-09 17:00:00
1086270,Pittsburgh,2012-10-09 18:00:00
1086271,Pittsburgh,2012-10-09 19:00:00
1086272,Pittsburgh,2012-10-09 20:00:00
1086273,Pittsburgh,2012-10-09 21:00:00
1086274,Pittsburgh,2012-10-09 22:00:00
1086275,Pittsburgh,2012-10-09 23:00:00
1086276,Pittsburgh,2012-10-10 00:00:00
1086277,Pittsburgh,2012-10-10 01:00:00
1086278,Pittsburgh,2012-10-10 02:00:00
1086279,Pittsburgh,2012-10-10 03:00:00
1086280,Pittsburgh,2012-10-10 04:00:00
1086281,Pittsburgh,2012-10-10 05:00:00
1086282,Pittsburgh,2012-10-10 06:00:00
1086283,Pittsburgh,2012-10-10 07:00:00
1086284,Pittsburgh,2012-10-10 08:00:00
1086285,Pittsburgh,2012-10-10 09:00:00
1086286,Pittsburgh,2012-10-10 10:00:00
1086287,Pittsburgh,2012-10-10 11:00:00
1086288,Pittsburgh,2012-10-10 12:00:00
1086289,Pittsburgh,2012-10-10 13:00:00
1086290,Pittsburgh,2012-10-10 14:00:00
1086291,Pittsburgh,2012-10-10 15:00:00
1086292,Pittsburgh,2012-10-10 16:00:00
1086293,Pittsburgh,2012-10-10 17:00:00
1086294,Pittsburgh,2012-10-10 18:00:00
1086295,Pittsburgh,2012-10-10 19:00:00
1086296,Pittsburgh,2012-10-10 20:00:00
1086297,Pittsburgh,2012-10-10 21:00:00
1086298,Pittsburgh,2012-10-10 22:00:00
1086299,Pittsburgh,2012-10-10 23:00:00
1086300,Pittsburgh,2012-10-11 00:00:00
1086301,Pittsburgh,2012-10-11 01:00:00
1086302,Pittsburgh,2012-10-11 02:00:00
1086303,Pittsburgh,2012-10-11 03:00:00
1086304,Pittsburgh,2012-10-11 04:00:00
1086305,Pittsburgh,2012-10-11 05:00:00
1086306,Pittsburgh,2012-10-11 06:00:00
1086307,Pittsburgh,2012-10-11 07:00:00
1086308,Pittsburgh,2012-10-11 08:00:00
1086309,Pittsburgh,2012-10-11 09:00:00
1086310,Pittsburgh,2012-10-11 10:00:00
1086311,Pittsburgh,2012-10-11 11:00:00
1086312,Pittsburgh,2012-10-11 12:00:00
1086313,Pittsburgh,2012-10-11 13:00:00
1086314,Pittsburgh,2012-10-11 14:00:00
1086315,Pittsburgh,2012-10-11 15:00:00
1086316,Pittsburgh,2012-10-11 16:00:00
1086317,Pittsburgh,2012-10-11 17:00:00
1086318,Pittsburgh,2012-10-11 18:00:00
1086319,Pittsburgh,2012-10-11 19:00:00
1086320,Pittsburgh,2012-10-11 20:00:00
1086321,Pittsburgh,2012-10-11 21:00:00
1086322,Pittsburgh,2012-10-11 22:00:00
1086323,Pittsburgh,2012-10-11 23:00:00
1086324,Pittsburgh,2012-10-12 00:00:00
1086325,Pittsburgh,2012-10-12 01:00:00
1086326,Pittsburgh,2012-10-12 02:00:00
1086327,Pittsburgh,2012-10-12 03:00:00
1086328,Pittsburgh,2012-10-12 04:00:00
1086329,Pittsburgh,2012-10-12 05:00:00
1086330,Pittsburgh,2012-10-12 06:00:00
1086331,Pittsburgh,2012-10-12 07:00:00
1086332,Pittsburgh,2012-10-12 08:00:00
1086333,Pittsburgh,2012-10-12 09:00:00
1086334,Pittsburgh,2012-10-12 10:00:00
1086335,Pittsburgh,2012-10-12 11:00:00
1086336,Pittsburgh,2012-10-12 12:00:00
1086337,Pittsburgh,2012-10-12 13:00:00
1086338,Pittsburgh,2012-10-12 14:00:00
1086339,Pittsburgh,2012-10-12 15:00:00
1086340,Pittsburgh,2012-10-12 16:00:00
1086341,Pittsburgh,2012-10-12 17:00:00
1086342,Pittsburgh,2012-10-12 18:00:00
1086343,Pittsburgh,2012-10-12 19:00:00
1086344,Pittsburgh,2012-10-12 20:00:00
1086345,Pittsburgh,2012-10-12 21:00:00
1086346,Pittsburgh,2012-10-12 22:00:00
1086347,Pittsburgh,2012-10-12 23:00:00
1086348,Pittsburgh,2012-10-13 00:00:00
1086349,Pittsburgh,2012-10-13 01:00:00
1086350,Pittsburgh,2012-10-13 02:00:00
1086351,Pittsburgh,2012-10-13 03:00:00
1086352,Pittsburgh,2012-10-13 04:00:00
1086353,Pittsburgh,2012-10-13 05:00:00
1086354,Pittsburgh,2012-10-13 06:00:00
1086355,Pittsburgh,2012-10-13 07:00:00
1086356,Pittsburgh,2012-10-13 08:00:00
1086357,Pittsburgh,2012-10-13 09:00:00
1086358,Pittsburgh,2012-10-13 10:00:00
1086359,Pittsburgh,2012-10-13 11:00:00
1086360,Pittsburgh,2012-10-13 12:00:00
1086361,Pittsburgh,2012-10-13 13:00:00
