,City,datetime
678795,Saint Louis,2012-10-01 12:00:00
678796,Saint Louis,2012-10-01 13:00:00
678797,Saint Louis,2012-10-01 14:00:00
678798,Saint Louis,2012-10-01 15:00:00
678799,Saint Louis,2012-10-01 16:00:00
678800,Saint Louis,2012-10-01 17:00:00
678801,Saint Louis,2012-10-01 18:00:00
678802,Saint Louis,2012-10-01 19:00:00
678803,Saint Louis,2012-10-01 20:00:00
678804,Saint Louis,2012-10-01 21:00:00
678805,Saint Louis,2012-10-01 22:00:00
678806,Saint Louis,2012-10-01 23:00:00
678807,Saint Louis,2012-10-02 00:00:00
678808,Saint Louis,2012-10-02 01:00:00
678809,Saint Louis,2012-10-02 02:00:00
678810,Saint Louis,2012-10-02 03:00:00
678811,Saint Louis,2012-10-02 04:00:00
678812,Saint Louis,2012-10-02 05:00:00
678813,Saint Louis,2012-10-02 06:00:00
678814,Saint Louis,2012-10-02 07:00:00
678815,Saint Louis,2012-10-02 08:00:00
678816,Saint Louis,2012-10-02 09:00:00
678817,Saint Louis,2012-10-02 10:00:00
678818,Saint Louis,2012-10-02 11:00:00
678819,Saint Louis,2012-10-02 12:00:00
678820,Saint Louis,2012-10-02 13:00:00
678821,Saint Louis,2012-10-02 14:00:00
678822,Saint Louis,2012-10-02 15:00:00
678823,Saint Louis,2012-10-02 16:00:00
678824,Saint Louis,2012-10-02 17:00:00
678825,Saint Louis,2012-10-02 18:00:00
678826,Saint Louis,2012-10-02 19:00:00
678827,Saint Louis,2012-10-02 20:00:00
678828,Saint Louis,2012-10-02 21:00:00
678829,Saint Louis,2012-10-02 22:00:00
678830,Saint Louis,2012-10-02 23:00:00
678831,Saint Louis,2012-10-03 00:00:00
678832,Saint Louis,2012-10-03 01:00:00
678833,Saint Louis,2012-10-03 02:00:00
678834,Saint Louis,2012-10-03 03:00:00
678835,Saint Louis,2012-10-03 04:00:00
678836,Saint Louis,2012-10-03 05:00:00
678837,Saint Louis,2012-10-03 06:00:00
678838,Saint Louis,2012-10-03 07:00:00
678839,Saint Louis,2012-10-03 08:00:00
678840,Saint Louis,2012-10-03 09:00:00
678841,Saint Louis,2012-10-03 10:00:00
678842,Saint Louis,2012-10-03 11:00:00
678843,Saint Louis,2012-10-03 12:00:00
678844,Saint Louis,2012-10-03 13:00:00
678845,Saint Louis,2012-10-03 14:00:00
678846,Saint Louis,2012-10-03 15:00:00
678847,Saint Louis,2012-10-03 16:00:00
