,City,datetime
452530,San Antonio,2012-10-01 12:00:00
452531,San Antonio,2012-10-01 13:00:00
452532,San Antonio,2012-10-01 14:00:00
452533,San Antonio,2012-10-01 15:00:00
452534,San Antonio,2012-10-01 16:00:00
452535,San Antonio,2012-10-01 17:00:00
452536,San Antonio,2012-10-01 18:00:00
452537,San Antonio,2012-10-01 19:00:00
452538,San Antonio,2012-10-01 20:00:00
452539,San Antonio,2012-10-01 21:00:00
452540,San Antonio,2012-10-01 22:00:00
452541,San Antonio,2012-10-01 23:00:00
452542,San Antonio,2012-10-02 00:00:00
452543,San Antonio,2012-10-02 01:00:00
452544,San Antonio,2012-10-02 02:00:00
452545,San Antonio,2012-10-02 03:00:00
452546,San Antonio,2012-10-02 04:00:00
452547,San Antonio,2012-10-02 05:00:00
452548,San Antonio,2012-10-02 06:00:00
452549,San Antonio,2012-10-02 07:00:00
452550,San Antonio,2012-10-02 08:00:00
452551,San Antonio,2012-10-02 09:00:00
452552,San Antonio,2012-10-02 10:00:00
452553,San Antonio,2012-10-02 11:00:00
452554,San Antonio,2012-10-02 12:00:00
452555,San Antonio,2012-10-02 13:00:00
452556,San Antonio,2012-10-02 14:00:00
452557,San Antonio,2012-10-02 15:00:00
452558,San Antonio,2012-10-02 16:00:00
452559,San Antonio,2012-10-02 17:00:00
452560,San Antonio,2012-10-02 18:00:00
452561,San Antonio,2012-10-02 19:00:00
452562,San Antonio,2012-10-02 20:00:00
452563,San Antonio,2012-10-02 21:00:00
452564,San Antonio,2012-10-02 22:00:00
452565,San Antonio,2012-10-02 23:00:00
452566,San Antonio,2012-10-03 00:00:00
452567,San Antonio,2012-10-03 01:00:00
452568,San Antonio,2012-10-03 02:00:00
452569,San Antonio,2012-10-03 03:00:00
452570,San Antonio,2012-10-03 04:00:00
452571,San Antonio,2012-10-03 05:00:00
452572,San Antonio,2012-10-03 06:00:00
452573,San Antonio,2012-10-03 07:00:00
452574,San Antonio,2012-10-03 08:00:00
452575,San Antonio,2012-10-03 09:00:00
452576,San Antonio,2012-10-03 10:00:00
452577,San Antonio,2012-10-03 11:00:00
452578,San Antonio,2012-10-03 12:00:00
452579,San Antonio,2012-10-03 13:00:00
452580,San Antonio,2012-10-03 14:00:00
452581,San Antonio,2012-10-03 15:00:00
452582,San Antonio,2012-10-03 16:00:00
452583,San Antonio,2012-10-03 17:00:00
452584,San Antonio,2012-10-03 18:00:00
452585,San Antonio,2012-10-03 19:00:00
452586,San Antonio,2012-10-03 20:00:00
452587,San Antonio,2012-10-03 21:00:00
452588,San Antonio,2012-10-03 22:00:00
452589,San Antonio,2012-10-03 23:00:00
452590,San Antonio,2012-10-04 00:00:00
452591,San Antonio,2012-10-04 01:00:00
452592,San Antonio,2012-10-04 02:00:00
452593,San Antonio,2012-10-04 03:00:00
452594,San Antonio,2012-10-04 04:00:00
452595,San Antonio,2012-10-04 05:00:00
452596,San Antonio,2012-10-04 06:00:00
452597,San Antonio,2012-10-04 07:00:00
452598,San Antonio,2012-10-04 08:00:00
452599,San Antonio,2012-10-04 09:00:00
452600,San Antonio,2012-10-04 10:00:00
452601,San Antonio,2012-10-04 11:00:00
452602,San Antonio,2012-10-04 12:00:00
452603,San Antonio,2012-10-04 13:00:00
452604,San Antonio,2012-10-04 14:00:00
452605,San Antonio,2012-10-04 15:00:00
452606,San Antonio,2012-10-04 16:00:00
452607,San Antonio,2012-10-04 17:00:00
452608,San Antonio,2012-10-04 18:00:00
452609,San Antonio,2012-10-04 19:00:00
