,City,datetime
135759,Seattle,2012-10-01 12:00:00
135760,Seattle,2012-10-01 13:00:00
135761,Seattle,2012-10-01 14:00:00
135762,Seattle,2012-10-01 15:00:00
135763,Seattle,2012-10-01 16:00:00
135764,Seattle,2012-10-01 17:00:00
135765,Seattle,2012-10-01 18:00:00
135766,Seattle,2012-10-01 19:00:00
135767,Seattle,2012-10-01 20:00:00
135768,Seattle,2012-10-01 21:00:00
135769,Seattle,2012-10-01 22:00:00
135770,Seattle,2012-10-01 23:00:00
135771,Seattle,2012-10-02 00:00:00
135772,Seattle,2012-10-02 01:00:00
135773,Seattle,2012-10-02 02:00:00
135774,Seattle,2012-10-02 03:00:00
135775,Seattle,2012-10-02 04:00:00
135776,Seattle,2012-10-02 05:00:00
135777,Seattle,2012-10-02 06:00:00
135778,Seattle,2012-10-02 07:00:00
135779,Seattle,2012-10-02 08:00:00
135780,Seattle,2012-10-02 09:00:00
135781,Seattle,2012-10-02 10:00:00
135782,Seattle,2012-10-02 11:00:00
135783,Seattle,2012-10-02 12:00:00
135784,Seattle,2012-10-02 13:00:00
135785,Seattle,2012-10-02 14:00:00
135786,Seattle,2012-10-02 15:00:00
135787,Seattle,2012-10-02 16:00:00
135788,Seattle,2012-10-02 17:00:00
135789,Seattle,2012-10-02 18:00:00
135790,Seattle,2012-10-02 19:00:00
135791,Seattle,2012-10-02 20:00:00
135792,Seattle,2012-10-02 21:00:00
135793,Seattle,2012-10-02 22:00:00
135794,Seattle,2012-10-02 23:00:00
135795,Seattle,2012-10-03 00:00:00
135796,Seattle,2012-10-03 01:00:00
135797,Seattle,2012-10-03 02:00:00
135798,Seattle,2012-10-03 03:00:00
135799,Seattle,2012-10-03 04:00:00
135800,Seattle,2012-10-03 05:00:00
135801,Seattle,2012-10-03 06:00:00
135802,Seattle,2012-10-03 07:00:00
135803,Seattle,2012-10-03 08:00:00
135804,Seattle,2012-10-03 09:00:00
135805,Seattle,2012-10-03 10:00:00
135806,Seattle,2012-10-03 11:00:00
135807,Seattle,2012-10-03 12:00:00
135808,Seattle,2012-10-03 13:00:00
135809,Seattle,2012-10-03 14:00:00
135810,Seattle,2012-10-03 15:00:00
135811,Seattle,2012-10-03 16:00:00
135812,Seattle,2012-10-03 17:00:00
135813,Seattle,2012-10-03 18:00:00
135814,Seattle,2012-10-03 19:00:00
135815,Seattle,2012-10-03 20:00:00
135816,Seattle,2012-10-03 21:00:00
135817,Seattle,2012-10-03 22:00:00
135818,Seattle,2012-10-03 23:00:00
135819,Seattle,2012-10-04 00:00:00
135820,Seattle,2012-10-04 01:00:00
135821,Seattle,2012-10-04 02:00:00
135822,Seattle,2012-10-04 03:00:00
135823,Seattle,2012-10-04 04:00:00
135824,Seattle,2012-10-04 05:00:00
135825,Seattle,2012-10-04 06:00:00
135826,Seattle,2012-10-04 07:00:00
135827,Seattle,2012-10-04 08:00:00
135828,Seattle,2012-10-04 09:00:00
135829,Seattle,2012-10-04 10:00:00
135830,Seattle,2012-10-04 11:00:00
135831,Seattle,2012-10-04 12:00:00
135832,Seattle,2012-10-04 13:00:00
135833,Seattle,2012-10-04 14:00:00
135834,Seattle,2012-10-04 15:00:00
135835,Seattle,2012-10-04 16:00:00
135836,Seattle,2012-10-04 17:00:00
135837,Seattle,2012-10-04 18:00:00
135838,Seattle,2012-10-04 19:00:00
135839,Seattle,2012-10-04 20:00:00
135840,Seattle,2012-10-04 21:00:00
135841,Seattle,2012-10-04 22:00:00
135842,Seattle,2012-10-04 23:00:00
135843,Seattle,2012-10-05 00:00:00
135844,Seattle,2012-10-05 01:00:00
135845,Seattle,2012-10-05 02:00:00
135846,Seattle,2012-10-05 03:00:00
135847,Seattle,2012-10-05 04:00:00
135848,Seattle,2012-10-05 05:00:00
135849,Seattle,2012-10-05 06:00:00
135850,Seattle,2012-10-05 07:00:00
135851,Seattle,2012-10-05 08:00:00
135852,Seattle,2012-10-05 09:00:00
135853,Seattle,2012-10-05 10:00:00
135854,Seattle,2012-10-05 11:00:00
135855,Seattle,2012-10-05 12:00:00
135856,Seattle,2012-10-05 13:00:00
135857,Seattle,2012-10-05 14:00:00
135858,Seattle,2012-10-05 15:00:00
135859,Seattle,2012-10-05 16:00:00
135860,Seattle,2012-10-05 17:00:00
135861,Seattle,2012-10-05 18:00:00
135862,Seattle,2012-10-05 19:00:00
135863,Seattle,2012-10-05 20:00:00
135864,Seattle,2012-10-05 21:00:00
135865,Seattle,2012-10-05 22:00:00
135866,Seattle,2012-10-05 23:00:00
135867,Seattle,2012-10-06 00:00:00
135868,Seattle,2012-10-06 01:00:00
135869,Seattle,2012-10-06 02:00:00
135870,Seattle,2012-10-06 03:00:00
135871,Seattle,2012-10-06 04:00:00
135872,Seattle,2012-10-06 05:00:00
135873,Seattle,2012-10-06 06:00:00
135874,Seattle,2012-10-06 07:00:00
135875,Seattle,2012-10-06 08:00:00
135876,Seattle,2012-10-06 09:00:00
135877,Seattle,2012-10-06 10:00:00
135878,Seattle,2012-10-06 11:00:00
135879,Seattle,2012-10-06 12:00:00
135880,Seattle,2012-10-06 13:00:00
135881,Seattle,2012-10-06 14:00:00
135882,Seattle,2012-10-06 15:00:00
135883,Seattle,2012-10-06 16:00:00
135884,Seattle,2012-10-06 17:00:00
135885,Seattle,2012-10-06 18:00:00
135886,Seattle,2012-10-06 19:00:00
135887,Seattle,2012-10-06 20:00:00
