,City,datetime
1131325,Toronto,2012-10-01 12:00:00
1131326,Toronto,2012-10-01 13:00:00
1131327,Toronto,2012-10-01 14:00:00
1131328,Toronto,2012-10-01 15:00:00
1131329,Toronto,2012-10-01 16:00:00
1131330,Toronto,2012-10-01 17:00:00
1131331,Toronto,2012-10-01 18:00:00
1131332,Toronto,2012-10-01 19:00:00
1131333,Toronto,2012-10-01 20:00:00
1131334,Toronto,2012-10-01 21:00:00
1131335,Toronto,2012-10-01 22:00:00
1131336,Toronto,2012-10-01 23:00:00
1131337,Toronto,2012-10-02 00:00:00
1131338,Toronto,2012-10-02 01:00:00
1131339,Toronto,2012-10-02 02:00:00
1131340,Toronto,2012-10-02 03:00:00
1131341,Toronto,2012-10-02 04:00:00
1131342,Toronto,2012-10-02 05:00:00
1131343,Toronto,2012-10-02 06:00:00
1131344,Toronto,2012-10-02 07:00:00
1131345,Toronto,2012-10-02 08:00:00
1131346,Toronto,2012-10-02 09:00:00
1131347,Toronto,2012-10-02 10:00:00
1131348,Toronto,2012-10-02 11:00:00
1131349,Toronto,2012-10-02 12:00:00
1131350,Toronto,2012-10-02 13:00:00
1131351,Toronto,2012-10-02 14:00:00
1131352,Toronto,2012-10-02 15:00:00
1131353,Toronto,2012-10-02 16:00:00
1131354,Toronto,2012-10-02 17:00:00
1131355,Toronto,2012-10-02 18:00:00
1131356,Toronto,2012-10-02 19:00:00
1131357,Toronto,2012-10-02 20:00:00
1131358,Toronto,2012-10-02 21:00:00
1131359,Toronto,2012-10-02 22:00:00
1131360,Toronto,2012-10-02 23:00:00
1131361,Toronto,2012-10-03 00:00:00
1131362,Toronto,2012-10-03 01:00:00
1131363,Toronto,2012-10-03 02:00:00
1131364,Toronto,2012-10-03 03:00:00
1131365,Toronto,2012-10-03 04:00:00
1131366,Toronto,2012-10-03 05:00:00
1131367,Toronto,2012-10-03 06:00:00
1131368,Toronto,2012-10-03 07:00:00
1131369,Toronto,2012-10-03 08:00:00
1131370,Toronto,2012-10-03 09:00:00
1131371,Toronto,2012-10-03 10:00:00
1131372,Toronto,2012-10-03 11:00:00
1131373,Toronto,2012-10-03 12:00:00
1131374,Toronto,2012-10-03 13:00:00
1131375,Toronto,2012-10-03 14:00:00
1131376,Toronto,2012-10-03 15:00:00
1131377,Toronto,2012-10-03 16:00:00
1131378,Toronto,2012-10-03 17:00:00
1131379,Toronto,2012-10-03 18:00:00
1131380,Toronto,2012-10-03 19:00:00
1131381,Toronto,2012-10-03 20:00:00
1131382,Toronto,2012-10-03 21:00:00
1131383,Toronto,2012-10-03 22:00:00
1131384,Toronto,2012-10-03 23:00:00
1131385,Toronto,2012-10-04 00:00:00
1131386,Toronto,2012-10-04 01:00:00
1131387,Toronto,2012-10-04 02:00:00
1131388,Toronto,2012-10-04 03:00:00
1131389,Toronto,2012-10-04 04:00:00
1131390,Toronto,2012-10-04 05:00:00
1131391,Toronto,2012-10-04 06:00:00
1131392,Toronto,2012-10-04 07:00:00
1131393,Toronto,2012-10-04 08:00:00
1131394,Toronto,2012-10-04 09:00:00
1131395,Toronto,2012-10-04 10:00:00
1131396,Toronto,2012-10-04 11:00:00
1131397,Toronto,2012-10-04 12:00:00
1131398,Toronto,2012-10-04 13:00:00
1131399,Toronto,2012-10-04 14:00:00
1131400,Toronto,2012-10-04 15:00:00
1131401,Toronto,2012-10-04 16:00:00
1131402,Toronto,2012-10-04 17:00:00
1131403,Toronto,2012-10-04 18:00:00
1131404,Toronto,2012-10-04 19:00:00
1131405,Toronto,2012-10-04 20:00:00
1131406,Toronto,2012-10-04 21:00:00
1131407,Toronto,2012-10-04 22:00:00
1131408,Toronto,2012-10-04 23:00:00
1131409,Toronto,2012-10-05 00:00:00
1131410,Toronto,2012-10-05 01:00:00
1131411,Toronto,2012-10-05 02:00:00
1131412,Toronto,2012-10-05 03:00:00
1131413,Toronto,2012-10-05 04:00:00
1131414,Toronto,2012-10-05 05:00:00
1131415,Toronto,2012-10-05 06:00:00
1131416,Toronto,2012-10-05 07:00:00
1131417,Toronto,2012-10-05 08:00:00
1131418,Toronto,2012-10-05 09:00:00
