,City,datetime
0,Vancouver,2012-10-01 12:00:00
1,Vancouver,2012-10-01 13:00:00
2,Vancouver,2012-10-01 14:00:00
3,Vancouver,2012-10-01 15:00:00
4,Vancouver,2012-10-01 16:00:00
5,Vancouver,2012-10-01 17:00:00
6,Vancouver,2012-10-01 18:00:00
7,Vancouver,2012-10-01 19:00:00
8,Vancouver,2012-10-01 20:00:00
9,Vancouver,2012-10-01 21:00:00
10,Vancouver,2012-10-01 22:00:00
11,Vancouver,2012-10-01 23:00:00
12,Vancouver,2012-10-02 00:00:00
13,Vancouver,2012-10-02 01:00:00
14,Vancouver,2012-10-02 02:00:00
15,Vancouver,2012-10-02 03:00:00
16,Vancouver,2012-10-02 04:00:00
17,Vancouver,2012-10-02 05:00:00
18,Vancouver,2012-10-02 06:00:00
19,Vancouver,2012-10-02 07:00:00
20,Vancouver,2012-10-02 08:00:00
21,Vancouver,2012-10-02 09:00:00
22,Vancouver,2012-10-02 10:00:00
23,Vancouver,2012-10-02 11:00:00
24,Vancouver,2012-10-02 12:00:00
25,Vancouver,2012-10-02 13:00:00
26,Vancouver,2012-10-02 14:00:00
27,Vancouver,2012-10-02 15:00:00
28,Vancouver,2012-10-02 16:00:00
29,Vancouver,2012-10-02 17:00:00
30,Vancouver,2012-10-02 18:00:00
31,Vancouver,2012-10-02 19:00:00
32,Vancouver,2012-10-02 20:00:00
33,Vancouver,2012-10-02 21:00:00
34,Vancouver,2012-10-02 22:00:00
35,Vancouver,2012-10-02 23:00:00
36,Vancouver,2012-10-03 00:00:00
37,Vancouver,2012-10-03 01:00:00
38,Vancouver,2012-10-03 02:00:00
39,Vancouver,2012-10-03 03:00:00
40,Vancouver,2012-10-03 04:00:00
41,Vancouver,2012-10-03 05:00:00
42,Vancouver,2012-10-03 06:00:00
43,Vancouver,2012-10-03 07:00:00
44,Vancouver,2012-10-03 08:00:00
45,Vancouver,2012-10-03 09:00:00
46,Vancouver,2012-10-03 10:00:00
47,Vancouver,2012-10-03 11:00:00
48,Vancouver,2012-10-03 12:00:00
49,Vancouver,2012-10-03 13:00:00
50,Vancouver,2012-10-03 14:00:00
51,Vancouver,2012-10-03 15:00:00
52,Vancouver,2012-10-03 16:00:00
53,Vancouver,2012-10-03 17:00:00
54,Vancouver,2012-10-03 18:00:00
55,Vancouver,2012-10-03 19:00:00
56,Vancouver,2012-10-03 20:00:00
57,Vancouver,2012-10-03 21:00:00
58,Vancouver,2012-10-03 22:00:00
59,Vancouver,2012-10-03 23:00:00
60,Vancouver,2012-10-04 00:00:00
61,Vancouver,2012-10-04 01:00:00
62,Vancouver,2012-10-04 02:00:00
63,Vancouver,2012-10-04 03:00:00
64,Vancouver,2012-10-04 04:00:00
65,Vancouver,2012-10-04 05:00:00
66,Vancouver,2012-10-04 06:00:00
67,Vancouver,2012-10-04 07:00:00
68,Vancouver,2012-10-04 08:00:00
69,Vancouver,2012-10-04 09:00:00
70,Vancouver,2012-10-04 10:00:00
71,Vancouver,2012-10-04 11:00:00
72,Vancouver,2012-10-04 12:00:00
73,Vancouver,2012-10-04 13:00:00
74,Vancouver,2012-10-04 14:00:00
75,Vancouver,2012-10-04 15:00:00
76,Vancouver,2012-10-04 16:00:00
77,Vancouver,2012-10-04 17:00:00
78,Vancouver,2012-10-04 18:00:00
79,Vancouver,2012-10-04 19:00:00
80,Vancouver,2012-10-04 20:00:00
81,Vancouver,2012-10-04 21:00:00
82,Vancouver,2012-10-04 22:00:00
83,Vancouver,2012-10-04 23:00:00
84,Vancouver,2012-10-05 00:00:00
85,Vancouver,2012-10-05 01:00:00
86,Vancouver,2012-10-05 02:00:00
87,Vancouver,2012-10-05 03:00:00
88,Vancouver,2012-10-05 04:00:00
89,Vancouver,2012-10-05 05:00:00
90,Vancouver,2012-10-05 06:00:00
91,Vancouver,2012-10-05 07:00:00
92,Vancouver,2012-10-05 08:00:00
93,Vancouver,2012-10-05 09:00:00
94,Vancouver,2012-10-05 10:00:00
95,Vancouver,2012-10-05 11:00:00
96,Vancouver,2012-10-05 12:00:00
97,Vancouver,2012-10-05 13:00:00
98,Vancouver,2012-10-05 14:00:00
99,Vancouver,2012-10-05 15:00:00
100,Vancouver,2012-10-05 16:00:00
101,Vancouver,2012-10-05 17:00:00
102,Vancouver,2012-10-05 18:00:00
103,Vancouver,2012-10-05 19:00:00
104,Vancouver,2012-10-05 20:00:00
105,Vancouver,2012-10-05 21:00:00
106,Vancouver,2012-10-05 22:00:00
107,Vancouver,2012-10-05 23:00:00
108,Vancouver,2012-10-06 00:00:00
109,Vancouver,2012-10-06 01:00:00
110,Vancouver,2012-10-06 02:00:00
111,Vancouver,2012-10-06 03:00:00
112,Vancouver,2012-10-06 04:00:00
113,Vancouver,2012-10-06 05:00:00
114,Vancouver,2012-10-06 06:00:00
115,Vancouver,2012-10-06 07:00:00
116,Vancouver,2012-10-06 08:00:00
117,Vancouver,2012-10-06 09:00:00
118,Vancouver,2012-10-06 10:00:00
119,Vancouver,2012-10-06 11:00:00
120,Vancouver,2012-10-06 12:00:00
121,Vancouver,2012-10-06 13:00:00
122,Vancouver,2012-10-06 14:00:00
123,Vancouver,2012-10-06 15:00:00
124,Vancouver,2012-10-06 16:00:00
125,Vancouver,2012-10-06 17:00:00
126,Vancouver,2012-10-06 18:00:00
127,Vancouver,2012-10-06 19:00:00
128,Vancouver,2012-10-06 20:00:00
129,Vancouver,2012-10-06 21:00:00
130,Vancouver,2012-10-06 22:00:00
131,Vancouver,2012-10-06 23:00:00
132,Vancouver,2012-10-07 00:00:00
133,Vancouver,2012-10-07 01:00:00
134,Vancouver,2012-10-07 02:00:00
135,Vancouver,2012-10-07 03:00:00
136,Vancouver,2012-10-07 04:00:00
137,Vancouver,2012-10-07 05:00:00
138,Vancouver,2012-10-07 06:00:00
139,Vancouver,2012-10-07 07:00:00
140,Vancouver,2012-10-07 08:00:00
141,Vancouver,2012-10-07 09:00:00
142,Vancouver,2012-10-07 10:00:00
143,Vancouver,2012-10-07 11:00:00
144,Vancouver,2012-10-07 12:00:00
145,Vancouver,2012-10-07 13:00:00
146,Vancouver,2012-10-07 14:00:00
147,Vancouver,2012-10-07 15:00:00
148,Vancouver,2012-10-07 16:00:00
149,Vancouver,2012-10-07 17:00:00
150,Vancouver,2012-10-07 18:00:00
151,Vancouver,2012-10-07 19:00:00
152,Vancouver,2012-10-07 20:00:00
153,Vancouver,2012-10-07 21:00:00
154,Vancouver,2012-10-07 22:00:00
155,Vancouver,2012-10-07 23:00:00
156,Vancouver,2012-10-08 00:00:00
157,Vancouver,2012-10-08 01:00:00
158,Vancouver,2012-10-08 02:00:00
159,Vancouver,2012-10-08 03:00:00
160,Vancouver,2012-10-08 04:00:00
161,Vancouver,2012-10-08 05:00:00
162,Vancouver,2012-10-08 06:00:00
163,Vancouver,2012-10-08 07:00:00
164,Vancouver,2012-10-08 08:00:00
165,Vancouver,2012-10-08 09:00:00
166,Vancouver,2012-10-08 10:00:00
167,Vancouver,2012-10-08 11:00:00
168,Vancouver,2012-10-08 12:00:00
